objectid,altnumtype,altnum
1277,Old Accession Number,A-132
1280,Old Accession Number,A-135
1281,Old Accession Number,A-136
1288,Old Accession Number,A-1471.A
1288,Old Accession Number,C-82.A
1293,Old Accession Number,A-1474
1293,Old Accession Number,C-86
1297,Old Accession Number,A-1476
1297,Old Accession Number,C-88
1303,Old Accession Number,A-1480
1303,Old Accession Number,C-92
1312,Old Accession Number,A-1485
1312,Old Accession Number,C-97
1313,Old Accession Number,A-1485
1313,Old Accession Number,C-97
1314,Old Accession Number,A-1486
1314,Old Accession Number,C-98
1317,Old Accession Number,A-1487
1317,Old Accession Number,C-99
1323,Old Accession Number,A-1490
1323,Old Accession Number,C-102
1324,Old Accession Number,A-1491
1324,Old Accession Number,C-103
1325,Old Accession Number,A-1491
1325,Old Accession Number,C-103
1328,Old Accession Number,A-1493
1328,Old Accession Number,C-105
1331,Old Accession Number,A-1494
1331,Old Accession Number,C-106
1335,Old Accession Number,A-1497
1335,Old Accession Number,C-109
1345,Old Accession Number,A-1507
1345,Old Accession Number,C-119
1355,Old Accession Number,A-1517
1355,Old Accession Number,C-129
1359,Old Accession Number,A-1521
1359,Old Accession Number,C-133
1360,Old Accession Number,A-1522
1360,Old Accession Number,C-134
1362,Old Accession Number,A-1524
1362,Old Accession Number,C-136
1368,Old Accession Number,A-1530
1368,Old Accession Number,C-142
1369,Old Accession Number,A-1531
1369,Old Accession Number,C-143
1375,Old Accession Number,A-1537
1375,Old Accession Number,C-149
1377,Old Accession Number,A-1539
1377,Old Accession Number,C-151
1380,Old Accession Number,A-1542
1380,Old Accession Number,C-154
1382,Old Accession Number,A-1544
1382,Old Accession Number,C-156
1383,Old Accession Number,A-1545
1383,Old Accession Number,C-157
1386,Old Accession Number,A-1548
1386,Old Accession Number,C-160
1392,Old Accession Number,A-1554
1392,Old Accession Number,C-166
1398,Old Accession Number,A-1560
1398,Old Accession Number,C-172
1422,Old Accession Number,A-1584
1422,Old Accession Number,C-196
1423,Old Accession Number,A-1585
1423,Old Accession Number,C-197
1431,Old Accession Number,A-1593
1431,Old Accession Number,C-205
1435,Old Accession Number,A-1597
1435,Old Accession Number,A-483
1435,Old Accession Number,C-209
1436,Old Accession Number,C-12
1437,Old Accession Number,C-1
1439,Old Accession Number,C-3
1442,Old Accession Number,C-6
1444,Old Accession Number,C-8
1451,Old Accession Number,C-16
1455,Old Accession Number,C-20
1457,Old Accession Number,C-22
1464,Old Accession Number,C-29
1466,Old Accession Number,C-31
1468,Old Accession Number,C-33
1473,Old Accession Number,C-38
1474,Old Accession Number,C-39
1475,Old Accession Number,C-40
1482,Old Accession Number,C-47
1487,Old Accession Number,C-52
1488,Old Accession Number,C-53
1491,Old Accession Number,C-56
1501,Old Accession Number,C-66
1503,Old Accession Number,C-68
1510,Old Accession Number,C-75
1515,Old Accession Number,C-80
1518,Old Accession Number,C-211
1521,Old Accession Number,C-214
1522,Old Accession Number,C-215
1524,Old Accession Number,C-217
1527,Old Accession Number,C-220
1540,Old Accession Number,C-233
1549,Old Accession Number,C-242
1552,Old Accession Number,C-245
1553,Old Accession Number,C-246
1555,Old Accession Number,C-248
1559,Old Accession Number,C-252
1560,Old Accession Number,C-253
1561,Old Accession Number,C-254
1565,Old Accession Number,C-258
1568,Old Accession Number,C-261
1573,Old Accession Number,C-266
1578,Old Accession Number,C-271
1579,Old Accession Number,C-272
1580,Old Accession Number,C-273
1581,Old Accession Number,C-274
1583,Old Accession Number,C-276
1587,Old Accession Number,C-280
1597,Old Accession Number,C-290
1599,Old Accession Number,C-292
1601,Old Accession Number,C-294
1603,Old Accession Number,C-296
1609,Old Accession Number,C-302
1619,Old Accession Number,C-312
1625,Old Accession Number,C-318
1637,Old Accession Number,C-321
1655,Old Accession Number,C-330
1660,Old Accession Number,C-335
1662,Old Accession Number,C-337
1663,Old Accession Number,C-338
1674,Old Accession Number,C-349
1677,Old Accession Number,C-352
1683,Old Accession Number,C-358
1686,Old Accession Number,C-361
1692,Old Accession Number,C-367
1696,Old Accession Number,C-371
1700,Old Accession Number,C-375
1704,Old Accession Number,C-379
1709,Old Accession Number,C-384
1715,Old Accession Number,C-390
1717,Old Accession Number,C-392
1725,Old Accession Number,C-400
1735,Old Accession Number,C-410
1741,Old Accession Number,C-416
1748,Old Accession Number,C-423
1749,Old Accession Number,C-424
1753,Old Accession Number,C-428
1759,Old Accession Number,C-434
1761,Old Accession Number,C-436
1763,Old Accession Number,C-438
1769,Old Accession Number,C-442
1770,Old Accession Number,C-443
1773,Old Accession Number,C-446
1781,Old Accession Number,C-454
1784,Old Accession Number,C-457
1787,Old Accession Number,C-460
1794,Old Accession Number,C-467
1809,Old Accession Number,C-482
1810,Old Accession Number,C-483
1819,Old Accession Number,C-492
1821,Old Accession Number,C-494
1826,Old Accession Number,C-499
1829,Old Accession Number,C-502
1838,Old Accession Number,B-495
1843,Old Accession Number,B-500
1847,Old Accession Number,B-504
1849,Old Accession Number,B-506
1852,Old Accession Number,B-509
1856,Old Accession Number,B-513
1858,Old Accession Number,B-514
1861,Old Accession Number,B-517
1862,Old Accession Number,B-518
1869,Old Accession Number,B-524
1872,Old Accession Number,B-527
1873,Old Accession Number,B-528
1874,Old Accession Number,B-529
1878,Old Accession Number,B-533
1882,Old Accession Number,B-537
1885,Old Accession Number,B-540
1893,Old Accession Number,B-548
1901,Old Accession Number,B-556
1903,Old Accession Number,B-558
1904,Old Accession Number,B-559
1906,Old Accession Number,B-560
1907,Old Accession Number,B-561
1914,Old Accession Number,B-568
1922,Old Accession Number,B-576
1925,Old Accession Number,B-579
1927,Old Accession Number,B-581
1932,Old Accession Number,B-586
1942,Old Accession Number,B-596
1945,Old Accession Number,B-598
1946,Old Accession Number,B-600
1953,Old Accession Number,B-614
1956,Old Accession Number,B-620
1965,Old Accession Number,B-637
1973,Old Accession Number,B-653
1982,Old Accession Number,B-24137
1985,Old Accession Number,B-1679
1988,Old Accession Number,B-663
1992,Old Accession Number,B-667
1994,Old Accession Number,B-669
1996,Old Accession Number,B-671
1999,Old Accession Number,B-674
2004,Old Accession Number,B-679
2026,Old Accession Number,B-700
2030,Old Accession Number,B-704
2032,Old Accession Number,B-706
2033,Old Accession Number,B-707
2037,Old Accession Number,B-711
2042,Old Accession Number,B-716
2043,Old Accession Number,B-717
2044,Old Accession Number,B-718
2047,Old Accession Number,B-721
2051,Old Accession Number,B-725
2053,Old Accession Number,B-727
2058,Old Accession Number,B-732
2064,Old Accession Number,B-737
2065,Old Accession Number,B-738
2066,Old Accession Number,B-739
2069,Old Accession Number,B-742
2070,Old Accession Number,B-743
2071,Old Accession Number,B-744
2072,Old Accession Number,B-745
2073,Old Accession Number,B-746
2076,Old Accession Number,B-749
2080,Old Accession Number,B-753
2085,Old Accession Number,B-758
2086,Old Accession Number,B-759
2092,Old Accession Number,B-765
2095,Old Accession Number,B-768
2099,Old Accession Number,B-771
2101,Old Accession Number,B-773
2102,Old Accession Number,B-774
2105,Old Accession Number,B-777
2108,Old Accession Number,B-780
2115,Old Accession Number,B-787
2117,Old Accession Number,B-789
2122,Old Accession Number,B-794
2124,Old Accession Number,B-796
2125,Old Accession Number,B-797
2127,Old Accession Number,B-799
2128,Old Accession Number,B-800
2129,Old Accession Number,B-801
2130,Old Accession Number,B-802
2131,Old Accession Number,B-803
2133,Old Accession Number,B-805
2134,Old Accession Number,B-806
2139,Old Accession Number,B-810
2149,Old Accession Number,B-820
2153,Old Accession Number,B-824
2154,Old Accession Number,B-825
2155,Old Accession Number,B-826
2159,Old Accession Number,B-830
2160,Old Accession Number,B-831
2162,Old Accession Number,B-833
2165,Old Accession Number,B-836
2166,Old Accession Number,B-837
2168,Old Accession Number,B-839
