objectid,altnumtype,altnum
8271,Old Accession Number,B-7845
8276,Old Accession Number,B-7850
8280,Old Accession Number,B-7854
8282,Old Accession Number,B-7856
8287,Old Accession Number,B-7861
8290,Old Accession Number,B-7864
8295,Old Accession Number,B-7869
8296,Old Accession Number,B-7870
8301,Old Accession Number,B-7875
8303,Old Accession Number,B-7877
8317,Old Accession Number,B-7893
8319,Old Accession Number,B-7895
8321,Old Accession Number,B-7897
8322,Old Accession Number,B-7898
8324,Old Accession Number,B-7900
8329,Old Accession Number,B-7905
8333,Old Accession Number,B-7909
8334,Old Accession Number,B-7910
8341,Old Accession Number,B-7917
8342,Old Accession Number,B-7918
8351,Old Accession Number,B-7927
8353,Old Accession Number,B-7929
8354,Old Accession Number,B-7930
8364,Old Accession Number,B-7940
8367,Old Accession Number,B-7943
8368,Old Accession Number,B-7944
8369,Old Accession Number,B-7945
8372,Old Accession Number,B-7948
8373,Old Accession Number,B-7949
8385,Old Accession Number,B-7961
8387,Old Accession Number,B-7963
8388,Old Accession Number,B-7964
8391,Old Accession Number,B-7967
8392,Old Accession Number,B-7968
8396,Old Accession Number,B-7972
8402,Old Accession Number,B-7978
8403,Old Accession Number,B-7979
8406,Old Accession Number,B-7982
8415,Old Accession Number,B-7991
8427,Old Accession Number,B-8003
8429,Old Accession Number,B-8005
8443,Old Accession Number,B-8018
8445,Old Accession Number,B-8020
8453,Old Accession Number,B-8027
8455,Old Accession Number,B-8029
8462,Old Accession Number,B-3210
8468,Old Accession Number,B-8042
8470,Old Accession Number,B-8044
8472,Old Accession Number,B-8046
8473,Old Accession Number,B-8047
8475,Old Accession Number,B-8049
8479,Old Accession Number,B-8053
8481,Old Accession Number,B-8055
8483,Old Accession Number,B-8057
8485,Old Accession Number,B-8059
8500,Old Accession Number,B-8074
8502,Old Accession Number,B-8076
8506,Old Accession Number,B-8080
8509,Old Accession Number,B-8083
8510,Old Accession Number,B-8084
8512,Old Accession Number,B-8086
8513,Old Accession Number,B-8087
8515,Old Accession Number,B-8089
8516,Old Accession Number,B-8090
8517,Old Accession Number,B-8091
8520,Old Accession Number,B-8094
8521,Old Accession Number,B-8095
8522,Old Accession Number,B-8096
8529,Old Accession Number,B-8103
8532,Old Accession Number,B-8106
8535,Old Accession Number,B-8109
8542,Old Accession Number,B-8116
8556,Old Accession Number,B-8130
8560,Old Accession Number,B-8134
8570,Old Accession Number,B-8144
8571,Old Accession Number,B-8145
8573,Old Accession Number,B-8147
8576,Old Accession Number,B-8150
8579,Old Accession Number,B-8153
8582,Old Accession Number,B-8156
8589,Old Accession Number,B-8164
8605,Old Accession Number,B-8180
8608,Old Accession Number,B-8183
8612,Old Accession Number,B-8187
8620,Old Accession Number,B-8195
8624,Old Accession Number,B-8199
8629,Old Accession Number,B-8204
8633,Old Accession Number,B-8208
8638,Old Accession Number,B-8213
8639,Old Accession Number,B-8214
8641,Old Accession Number,B-8216
8642,Old Accession Number,B-8217
8648,Old Accession Number,B-8222
8656,Old Accession Number,B-8230
8663,Old Accession Number,B-8237
8665,Old Accession Number,B-8239
8671,Old Accession Number,B-8245
8678,Old Accession Number,B-8252
8684,Old Accession Number,B-8258
8687,Old Accession Number,B-8261
8688,Old Accession Number,B-8262
8692,Old Accession Number,B-8265
8696,Old Accession Number,B-8265
8699,Old Accession Number,B-8268
8713,Old Accession Number,B-8282
8721,Old Accession Number,B-8290
8725,Old Accession Number,B-8294
8729,Old Accession Number,B-8298
8737,Old Accession Number,B-8306
8740,Old Accession Number,B-8309
8746,Old Accession Number,B-8314
8750,Old Accession Number,B-8318
8752,Old Accession Number,B-8320
8762,Old Accession Number,B-8330
8763,Old Accession Number,B-8331
8765,Old Accession Number,B-8333
8766,Old Accession Number,B-8336
8769,Old Accession Number,B-8337
8778,Old Accession Number,B-8346
8782,Old Accession Number,B-8350
8787,Old Accession Number,B-8356
8792,Old Accession Number,B-3210
8793,Old Accession Number,B-8362
8797,Old Accession Number,B-8366
8798,Old Accession Number,B-8367
8802,Old Accession Number,B-8371
8811,Old Accession Number,B-8380
8814,Old Accession Number,B-8383
8816,Old Accession Number,B-8385
8827,Old Accession Number,B-8396
8837,Old Accession Number,B-8406
8846,Old Accession Number,B-8415
8863,Old Accession Number,B-8432
8864,Old Accession Number,B-8433
8878,Old Accession Number,B-8447
8889,Old Accession Number,B-8458
8892,Old Accession Number,B-8461
8903,Old Accession Number,B-8472
8914,Old Accession Number,B-8483
8916,Old Accession Number,B-8485
8923,Old Accession Number,B-8492
8926,Old Accession Number,B-8495
8927,Old Accession Number,B-8496
8933,Old Accession Number,B-8502
8936,Old Accession Number,B-8505
8937,Old Accession Number,B-8506
8943,Old Accession Number,B-8512
8954,Old Accession Number,B-8522
8955,Old Accession Number,B-8523
8956,Old Accession Number,B-8524
8959,Old Accession Number,B-8527
8961,Old Accession Number,B-8529
8976,Old Accession Number,B-8544
8978,Old Accession Number,B-8546
8979,Old Accession Number,B-8547
8980,Old Accession Number,B-8548
8984,Old Accession Number,B-8552
8985,Old Accession Number,B-8553
8989,Old Accession Number,B-8557
8990,Old Accession Number,B-8558
8994,Old Accession Number,B-8562
8995,Old Accession Number,B-8563
9006,Old Accession Number,B-8574
9007,Old Accession Number,B-8575
9008,Old Accession Number,B-8576
9013,Old Accession Number,B-8581
9014,Old Accession Number,B-8582
9019,Old Accession Number,B-8587
9020,Old Accession Number,B-8588
9022,Old Accession Number,B-8590
9023,Old Accession Number,B-8591
9024,Old Accession Number,B-8592
9031,Old Accession Number,B-8599
9038,Old Accession Number,B-8606
9040,Old Accession Number,B-8608
9042,Old Accession Number,B-8610
9044,Old Accession Number,B-8612
9050,Old Accession Number,B-8618
9058,Old Accession Number,B-8626
9059,Old Accession Number,B-8627
9067,Old Accession Number,B-8635
9069,Old Accession Number,B-8637
9073,Old Accession Number,B-8641
9081,Old Accession Number,B-8649
9082,Old Accession Number,B-8650
9083,Old Accession Number,B-8651
9089,Old Accession Number,B-8657
9094,Old Accession Number,B-8662
9096,Old Accession Number,B-8664
9100,Old Accession Number,B-8668
9107,Old Accession Number,B-8675
9108,Old Accession Number,B-8676
9116,Old Accession Number,B-8684
9117,Old Accession Number,B-8685
9124,Old Accession Number,B-8692
9128,Old Accession Number,B-8696
9131,Old Accession Number,B-8699
9135,Old Accession Number,B-8703
9138,Old Accession Number,B-8706
9139,Old Accession Number,B-8707
9140,Old Accession Number,B-8708
9142,Old Accession Number,B-8710
9145,Old Accession Number,B-8713
9146,Old Accession Number,B-8714
9147,Old Accession Number,B-8715
9156,Old Accession Number,B-8724
9159,Old Accession Number,B-8727
9162,Old Accession Number,B-8730
9168,Old Accession Number,B-8736
9175,Old Accession Number,B-8743
9179,Old Accession Number,B-8747
9180,Old Accession Number,B-8748
9186,Old Accession Number,B-8754
9190,Old Accession Number,B-8758
9194,Old Accession Number,B-8762
9196,Old Accession Number,B-8764
9197,Old Accession Number,B-8765
9202,Old Accession Number,B-8770
9204,Old Accession Number,B-8772
9206,Old Accession Number,B-8774
9212,Old Accession Number,B-8780
9216,Old Accession Number,B-8784
9233,Old Accession Number,B-8800
9236,Old Accession Number,B-8803
9239,Old Accession Number,B-8806
9240,Old Accession Number,B-8807
9245,Old Accession Number,B-8812
9250,Old Accession Number,B-8817
9252,Old Accession Number,B-8819
9255,Old Accession Number,B-8822
9257,Old Accession Number,B-8824
9264,Old Accession Number,B-8831
9266,Old Accession Number,B-8833
9268,Old Accession Number,B-8835
9270,Old Accession Number,B-8837
9289,Old Accession Number,B-8856
9292,Old Accession Number,B-8859
9295,Old Accession Number,B-8862
9296,Old Accession Number,B-8863
9304,Old Accession Number,B-8871
9305,Old Accession Number,B-8872
9307,Old Accession Number,B-8874
9315,Old Accession Number,B-8882
9329,Old Accession Number,B-8896
9335,Old Accession Number,B-8902
9336,Old Accession Number,B-8903
9338,Old Accession Number,B-8905
9341,Old Accession Number,B-8908
9345,Old Accession Number,B-8912
9350,Old Accession Number,B-8917
9360,Old Accession Number,B-8927
9361,Old Accession Number,B-8928
9363,Old Accession Number,B-8930
9366,Old Accession Number,B-8933
9369,Old Accession Number,B-8936
9372,Old Accession Number,B-8939
9373,Old Accession Number,B-8940
9376,Old Accession Number,B-8943
9391,Old Accession Number,B-8958
9393,Old Accession Number,B-8960
9394,Old Accession Number,B-8961
9396,Old Accession Number,B-8963
9398,Old Accession Number,B-8965
9400,Old Accession Number,B-8967
9403,Old Accession Number,B-8970
9413,Old Accession Number,B-8980
9418,Old Accession Number,B-8985
9422,Old Accession Number,B-8989
9423,Old Accession Number,B-8990
9424,Old Accession Number,B-8991
9436,Old Accession Number,B-9003
9438,Old Accession Number,B-9005
9442,Old Accession Number,B-9009
9446,Old Accession Number,B-9013
9447,Old Accession Number,B-9014
9458,Old Accession Number,B-9025
9467,Old Accession Number,B-9034
9474,Old Accession Number,B-9041
9481,Old Accession Number,B-9048
9488,Old Accession Number,B-9054
9489,Old Accession Number,B-9056
9492,Old Accession Number,B-9059
9499,Old Accession Number,B-9066
9505,Old Accession Number,B-9072
9510,Old Accession Number,B-9077
9516,Old Accession Number,B-9083
9519,Old Accession Number,B-9086
9523,Old Accession Number,B-10429
9525,Old Accession Number,B-9092
9541,Old Accession Number,B-9107
9546,Old Accession Number,B-9112
9549,Old Accession Number,B-9115
9550,Old Accession Number,B-9116
9551,Old Accession Number,B-9117
9553,Old Accession Number,B-9119
9561,Old Accession Number,B-9127
9566,Old Accession Number,B-9132
9567,Old Accession Number,B-9133
9569,Old Accession Number,B-9135
9572,Old Accession Number,B-9138
9573,Old Accession Number,B-9139
9574,Old Accession Number,B-9140
9576,Old Accession Number,B-9142
9578,Old Accession Number,B-9144
9583,Old Accession Number,B-9149
9586,Old Accession Number,B-9152
9590,Old Accession Number,B-9156
9591,Old Accession Number,B-9157
9597,Old Accession Number,B-9163
9599,Old Accession Number,B-9165
9600,Old Accession Number,B-9166
9601,Old Accession Number,B-9167
9602,Old Accession Number,B-9168
9603,Old Accession Number,B-9169
9609,Old Accession Number,B-9175
9614,Old Accession Number,B-9180
9617,Old Accession Number,B-9183
9627,Old Accession Number,B-9193
9629,Old Accession Number,B-9195
9639,Old Accession Number,B-9205
9650,Old Accession Number,B-9216
9653,Old Accession Number,B-9219
9655,Old Accession Number,B-9221
9658,Old Accession Number,B-9224
9660,Old Accession Number,B-9226
9667,Old Accession Number,B-9233
9671,Old Accession Number,B-9237
9685,Old Accession Number,B-9251
9691,Old Accession Number,B-9257
9693,Old Accession Number,B-9259
9694,Old Accession Number,B-9260
9697,Old Accession Number,B-9263
9700,Old Accession Number,B-9266
9701,Old Accession Number,B-9267
9702,Old Accession Number,B-9268
9704,Old Accession Number,B-9270
9707,Old Accession Number,B-9273
9711,Old Accession Number,B-9277
9713,Old Accession Number,B-9279
9716,Old Accession Number,B-9282
9719,Old Accession Number,B-9285
9722,Old Accession Number,B-9288
9728,Old Accession Number,B-9294
9729,Old Accession Number,B-9295
9731,Old Accession Number,B-9297
9736,Old Accession Number,B-9302
9737,Old Accession Number,B-9303
9740,Old Accession Number,B-9306
9743,Old Accession Number,B-3210
9751,Old Accession Number,B-9316
9752,Old Accession Number,B-9317
9754,Old Accession Number,B-9319
9764,Old Accession Number,B-9329
9765,Old Accession Number,B-9330
9766,Old Accession Number,B-9331
9769,Old Accession Number,B-9334
9775,Old Accession Number,B-9340
9776,Old Accession Number,B-9341
9778,Old Accession Number,B-9343
9781,Old Accession Number,B-9346
9789,Old Accession Number,B-9354
9793,Old Accession Number,B-9358
9794,Old Accession Number,B-9359
9802,Old Accession Number,B-9367
9807,Old Accession Number,B-9372
9808,Old Accession Number,B-9373
9819,Old Accession Number,B-9384
9829,Old Accession Number,B-9394
9832,Old Accession Number,B-9397
9838,Old Accession Number,B-9403
9845,Old Accession Number,B-9410
9846,Old Accession Number,B-9411
9847,Old Accession Number,B-9412
9850,Old Accession Number,B-9415
9851,Old Accession Number,B-9416
9853,Old Accession Number,B-9419
9854,Old Accession Number,B-9420
9855,Old Accession Number,B-9421
9857,Old Accession Number,B-9423
9863,Old Accession Number,B-9429
9873,Old Accession Number,B-9439
9874,Old Accession Number,B-9440
9875,Old Accession Number,B-9441
9879,Old Accession Number,B-9445
9890,Old Accession Number,B-9456
9892,Old Accession Number,B-9458
9897,Old Accession Number,B-9463
9903,Old Accession Number,B-9469
9905,Old Accession Number,B-9471
9906,Old Accession Number,B-9472
9907,Old Accession Number,B-9473
9910,Old Accession Number,B-9476
9914,Old Accession Number,B-9480
9915,Old Accession Number,B-9481
9923,Old Accession Number,B-9489
9924,Old Accession Number,B-9490
9929,Old Accession Number,B-9495
9932,Old Accession Number,B-9498
9933,Old Accession Number,B-9499
9935,Old Accession Number,B-9501
9939,Old Accession Number,B-9505
9941,Old Accession Number,B-9507
9956,Old Accession Number,B-9522
9957,Old Accession Number,B-9523
9961,Old Accession Number,B-9528
9963,Old Accession Number,B-9530
9965,Old Accession Number,B-9532
9969,Old Accession Number,B-9536
9971,Old Accession Number,B-9538
9975,Old Accession Number,B-9542
9976,Old Accession Number,B-9543
9978,Old Accession Number,B-9545
9990,Old Accession Number,B-9557
9991,Old Accession Number,B-9558
10002,Old Accession Number,B-9569
10003,Old Accession Number,B-9570
10009,Old Accession Number,B-9576
10011,Old Accession Number,B-9578
10012,Old Accession Number,B-9579
10018,Old Accession Number,B-9585
10020,Old Accession Number,B-9587
10021,Old Accession Number,B-9588
10024,Old Accession Number,B-9591
10025,Old Accession Number,B-9592
10027,Old Accession Number,B-9594
10028,Old Accession Number,B-9595
10030,Old Accession Number,B-9597
10031,Old Accession Number,B-9598
10037,Old Accession Number,B-9604
10039,Old Accession Number,B-9606
10048,Old Accession Number,B-9615
10050,Old Accession Number,B-9617
10052,Old Accession Number,B-9619
10053,Old Accession Number,B-9620
10060,Old Accession Number,B-9627
10064,Old Accession Number,B-9631
10071,Old Accession Number,B-9638
10074,Old Accession Number,B-9641
10075,Old Accession Number,B-9642
10076,Old Accession Number,B-9643
10079,Old Accession Number,B-9646
10084,Old Accession Number,B-9651
10086,Old Accession Number,B-9653
10088,Old Accession Number,B-9655
10089,Old Accession Number,B-9656
10099,Old Accession Number,B-9666
10100,Old Accession Number,B-9667
10101,Old Accession Number,B-9668
10107,Old Accession Number,B-9674
10110,Old Accession Number,B-9677
10111,Old Accession Number,B-9678
10112,Old Accession Number,B-9679
10118,Old Accession Number,B-9685
10121,Old Accession Number,B-9688
10131,Old Accession Number,B-9698
10132,Old Accession Number,B-9699
10138,Old Accession Number,B-9705
10147,Old Accession Number,B-9714
10148,Old Accession Number,B-9715
10159,Old Accession Number,B-9726
10162,Old Accession Number,B-9729
10164,Old Accession Number,B-9731
10165,Old Accession Number,B-9732
10168,Old Accession Number,B-9735
10170,Old Accession Number,B-9737
10171,Old Accession Number,B-9738
10181,Old Accession Number,B-9748
10183,Old Accession Number,B-9750
10190,Old Accession Number,B-9757
10204,Old Accession Number,B-9771
10208,Old Accession Number,B-9775
10222,Old Accession Number,B-9789
10230,Old Accession Number,B-9797
10231,Old Accession Number,B-9798
10236,Old Accession Number,B-9803
10237,Old Accession Number,B-9804
10241,Old Accession Number,B-9808
10242,Old Accession Number,B-9809
10249,Old Accession Number,B-9816
10252,Old Accession Number,B-9819
10255,Old Accession Number,B-9822
10256,Old Accession Number,B-9823
10260,Old Accession Number,B-9827
10267,Old Accession Number,B-9834
10272,Old Accession Number,B-9839
10274,Old Accession Number,B-9841
10275,Old Accession Number,B-9842
10276,Old Accession Number,B-9843
10280,Old Accession Number,B-9847
10285,Old Accession Number,B-9852
10288,Old Accession Number,B-9855
10289,Old Accession Number,B-9856
10291,Old Accession Number,B-9858
10292,Old Accession Number,B-9859
10306,Old Accession Number,B-9873
10313,Old Accession Number,B-9881
10318,Old Accession Number,B-9886
10320,Old Accession Number,B-9888
10321,Old Accession Number,B-9889
10325,Old Accession Number,B-9893
10327,Old Accession Number,B-9895
10329,Old Accession Number,B-9897
10335,Old Accession Number,B-9903
10338,Old Accession Number,B-9906
10345,Old Accession Number,B-9913
10352,Old Accession Number,B-9920
10356,Old Accession Number,B-9924
10367,Old Accession Number,B-9935
10384,Old Accession Number,B-9952
10385,Old Accession Number,B-9953
10388,Old Accession Number,B-9956
10397,Old Accession Number,B-11084
10401,Old Accession Number,B-9969
10405,Old Accession Number,B-9973
10410,Old Accession Number,B-9977
10412,Old Accession Number,B-9979
10414,Old Accession Number,B-9981
10419,Old Accession Number,B-9986
10426,Old Accession Number,B-9992
10427,Old Accession Number,B-9994
10431,Old Accession Number,B-9998
10433,Old Accession Number,B-10000
10439,Old Accession Number,B-10006
10441,Old Accession Number,B-10008
10444,Old Accession Number,B-10011
10446,Old Accession Number,B-10013
10456,Old Accession Number,B-10023
10458,Old Accession Number,B-10025
10466,Old Accession Number,B-10033
10472,Old Accession Number,B-10039
10474,Old Accession Number,B-10041
10475,Old Accession Number,B-10042
10481,Old Accession Number,B-10048
10487,Old Accession Number,B-10053
10488,Old Accession Number,B-10054
10491,Old Accession Number,B-10057
10494,Old Accession Number,B-10060
10496,Old Accession Number,B-10062
10497,Old Accession Number,B-10063
10499,Old Accession Number,B-10065
10502,Old Accession Number,B-10068
10506,Old Accession Number,B-10072
10507,Old Accession Number,B-10073
10512,Old Accession Number,B-10078
10516,Old Accession Number,B-10082
10521,Old Accession Number,B-10087
10528,Old Accession Number,B-10094
10537,Old Accession Number,B-10103
10539,Old Accession Number,B-10105
10541,Old Accession Number,B-10107
10546,Old Accession Number,B-10112
10547,Old Accession Number,B-10113
10550,Old Accession Number,B-10116
10554,Old Accession Number,B-10120
10556,Old Accession Number,B-10122
10560,Old Accession Number,B-10126
10564,Old Accession Number,B-10130
10566,Old Accession Number,B-10132
10572,Old Accession Number,B-10138
10575,Old Accession Number,B-10141
10579,Old Accession Number,B-10145
10589,Old Accession Number,B-10155
10595,Old Accession Number,B-10161
10604,Old Accession Number,B-10170
10608,Old Accession Number,B-10174
10609,Old Accession Number,B-10175
10612,Old Accession Number,B-10178
10615,Old Accession Number,B-10181
10617,Old Accession Number,B-10183
10624,Old Accession Number,B-10190
10626,Old Accession Number,B-10192
10629,Old Accession Number,B-10195
10639,Old Accession Number,B-10205
10641,Old Accession Number,B-10207
10642,Old Accession Number,B-10208
10650,Old Accession Number,B-10216
10660,Old Accession Number,B-10226
10664,Old Accession Number,B-10230
10665,Old Accession Number,B-10231
10666,Old Accession Number,B-10232
10670,Old Accession Number,B-10236
10672,Old Accession Number,B-10238
10678,Old Accession Number,B-10244
10680,Old Accession Number,B-10246
10689,Old Accession Number,B-10255
10690,Old Accession Number,B-10256
10698,Old Accession Number,B-10264
10699,Old Accession Number,B-10265
10705,Old Accession Number,B-10271
10707,Old Accession Number,B-10273
10708,Old Accession Number,B-10274
10712,Old Accession Number,B-10278
10713,Old Accession Number,B-10279
10718,Old Accession Number,B-10284
10720,Old Accession Number,B-10286
10722,Old Accession Number,B-10288
10723,Old Accession Number,B-10289
10725,Old Accession Number,B-10291
10726,Old Accession Number,B-10292
10730,Old Accession Number,B-10296
10745,Old Accession Number,B-10311
10748,Old Accession Number,B-10314
10751,Old Accession Number,B-10317
10752,Old Accession Number,B-10318
10753,Old Accession Number,B-10319
10754,Old Accession Number,B-10320
10765,Old Accession Number,B-10330
10770,Old Accession Number,B-10335
10772,Old Accession Number,B-10337
10774,Old Accession Number,B-10339
10775,Old Accession Number,B-10340
10779,Old Accession Number,B-10344
10784,Old Accession Number,B-10349
10789,Old Accession Number,B-10354
10798,Old Accession Number,B-10363
10802,Old Accession Number,B-10367
10814,Old Accession Number,B-10379
10815,Old Accession Number,B-10380
10823,Old Accession Number,B-10388
10826,Old Accession Number,B-10390
10831,Old Accession Number,B-10396
10834,Old Accession Number,B-10399
10837,Old Accession Number,B-10402
10839,Old Accession Number,B-10403
10847,Old Accession Number,B-10412
10851,Old Accession Number,B-10416
10852,Old Accession Number,B-10417
10856,Old Accession Number,B-10421
10857,Old Accession Number,B-10422
10862,Old Accession Number,B-10427
10864,Old Accession Number,B-3210
10872,Old Accession Number,B-10437
10879,Old Accession Number,B-10444
10880,Old Accession Number,B-10445
10882,Old Accession Number,B-10447
10883,Old Accession Number,B-10448
10889,Old Accession Number,B-10454
10893,Old Accession Number,B-10458
10900,Old Accession Number,B-10465
10904,Old Accession Number,B-10469
10905,Old Accession Number,B-10470
10911,Old Accession Number,B-10476
10913,Old Accession Number,B-10478
10914,Old Accession Number,B-10479
10916,Old Accession Number,B-10481
10923,Old Accession Number,B-10488
10925,Old Accession Number,B-10490
10926,Old Accession Number,B-10491
10928,Old Accession Number,B-10493
10936,Old Accession Number,B-10501
10941,Old Accession Number,B-10506
10948,Old Accession Number,B-10513
10953,Old Accession Number,B-10518
10967,Old Accession Number,B-10533
10972,Old Accession Number,B-10538
10977,Old Accession Number,B-10543
10978,Old Accession Number,B-10544
10980,Old Accession Number,B-10546
10982,Old Accession Number,B-10548
10983,Old Accession Number,B-10549
10985,Old Accession Number,B-10551
10986,Old Accession Number,B-10552
10996,Old Accession Number,B-10562
11001,Old Accession Number,B-10567
11002,Old Accession Number,B-10569
11004,Old Accession Number,B-10571
11010,Old Accession Number,B-10577
11012,Old Accession Number,B-10579
11016,Old Accession Number,B-10583
11018,Old Accession Number,B-10585
11021,Old Accession Number,B-10588
11023,Old Accession Number,B-10590
11025,Old Accession Number,B-10592
11026,Old Accession Number,B-10593
11028,Old Accession Number,B-10595
11029,Old Accession Number,B-10596
11030,Old Accession Number,B-10597
11043,Old Accession Number,B-10610
11047,Old Accession Number,B-10614
11050,Old Accession Number,B-10617
11051,Old Accession Number,B-10618
11057,Old Accession Number,B-10624
11061,Old Accession Number,B-10628
11064,Old Accession Number,B-10631
11066,Old Accession Number,B-10633
11067,Old Accession Number,B-10634
11068,Old Accession Number,B-10635
11072,Old Accession Number,B-10639
11074,Old Accession Number,B-10641
11080,Old Accession Number,B-10647
11089,Old Accession Number,B-10656
11090,Old Accession Number,B-10657
11095,Old Accession Number,B-10662
11097,Old Accession Number,B-10664
11101,Old Accession Number,B-10668
11111,Old Accession Number,B-10678
11115,Old Accession Number,B-10682
11116,Old Accession Number,B-10683
11121,Old Accession Number,B-10688
11122,Old Accession Number,B-10689
11128,Old Accession Number,B-10695
11131,Old Accession Number,B-10698
11132,Old Accession Number,B-10699
11133,Old Accession Number,B-10700
11134,Old Accession Number,B-10701
11141,Old Accession Number,B-10708
11146,Old Accession Number,B-10713
11149,Old Accession Number,B-10716
11157,Old Accession Number,B-10724
11173,Old Accession Number,B-10740
11181,Old Accession Number,B-10748
11182,Old Accession Number,B-10749
11192,Old Accession Number,B-10759
11193,Old Accession Number,B-10760
11195,Old Accession Number,B-10762
11197,Old Accession Number,B-10764
11198,Old Accession Number,B-10765
11199,Old Accession Number,B-10766
11201,Old Accession Number,B-10768
11202,Old Accession Number,B-10769
11208,Old Accession Number,B-10775
11210,Old Accession Number,B-10777
11212,Old Accession Number,B-10779
11214,Old Accession Number,B-10781
11215,Old Accession Number,B-10782
11219,Old Accession Number,B-10786
11220,Old Accession Number,B-10787
11232,Old Accession Number,B-10799
11237,Old Accession Number,B-10804
11240,Old Accession Number,B-10807
11246,Old Accession Number,B-10813
11255,Old Accession Number,B-10822
11268,Old Accession Number,B-10835
11270,Old Accession Number,B-10838
11274,Old Accession Number,B-10842
11277,Old Accession Number,B-10845
11279,Old Accession Number,B-10847
11281,Old Accession Number,B-10849
11289,Old Accession Number,B-10857
11292,Old Accession Number,B-10860
11293,Old Accession Number,B-10861
11297,Old Accession Number,B-10865
11298,Old Accession Number,B-10866
11309,Old Accession Number,B-10875
11313,Old Accession Number,B-10879
11328,Old Accession Number,B-10894
11330,Old Accession Number,B-10896
11340,Old Accession Number,B-10906
11345,Old Accession Number,B-10911
11346,Old Accession Number,B-10912
11349,Old Accession Number,B-10915
11356,Old Accession Number,B-10922
11364,Old Accession Number,B-10930
11365,Old Accession Number,B-10931
11366,Old Accession Number,B-10932
11370,Old Accession Number,B-10936
11371,Old Accession Number,B-10937
11377,Old Accession Number,B-10943
11378,Old Accession Number,B-10944
11384,Old Accession Number,B-10949
11391,Old Accession Number,B-10955
11393,Old Accession Number,B-10957
11395,Old Accession Number,B-10959
11397,Old Accession Number,B-10961
11402,Old Accession Number,B-10965
11403,Old Accession Number,B-10966
11408,Old Accession Number,B-10971
11411,Old Accession Number,B-10974
11414,Old Accession Number,B-10977
11421,Old Accession Number,B-10984
11423,Old Accession Number,B-10986
11424,Old Accession Number,B-10987
11427,Old Accession Number,B-10990
11428,Old Accession Number,B-10991
11430,Old Accession Number,B-10993
11431,Old Accession Number,B-10994
11447,Old Accession Number,B-11010
11452,Old Accession Number,B-11015
11455,Old Accession Number,B-11018
11469,Old Accession Number,B-11032
11473,Old Accession Number,B-11036
11476,Old Accession Number,B-11039
11478,Old Accession Number,B-11041
11479,Old Accession Number,B-11042
11482,Old Accession Number,B-11045
11490,Old Accession Number,B-11053
11493,Old Accession Number,B-11056
11498,Old Accession Number,B-11061
11503,Old Accession Number,B-11065
11509,Old Accession Number,B-11069
11510,Old Accession Number,B-11070
11514,Old Accession Number,B-11074
11517,Old Accession Number,B-11076
11519,Old Accession Number,B-11077
11526,Old Accession Number,B-11083
11533,Old Accession Number,B-11093
11541,Old Accession Number,B-11101
11542,Old Accession Number,B-11102
11550,Old Accession Number,B-11110
11553,Old Accession Number,B-11113
11564,Old Accession Number,B-11123
11566,Old Accession Number,B-11125
11569,Old Accession Number,B-11128
11571,Old Accession Number,B-11130
11575,Old Accession Number,B-11134
11576,Old Accession Number,B-11135
11578,Old Accession Number,B-11137
11579,Old Accession Number,B-11138
11582,Old Accession Number,B-11141
11584,Old Accession Number,B-11143
11587,Old Accession Number,B-11145
11589,Old Accession Number,B-11147
11592,Old Accession Number,B-11150
11599,Old Accession Number,B-11157
11601,Old Accession Number,B-11159
11604,Old Accession Number,B-11162
11608,Old Accession Number,B-11166
11610,Old Accession Number,B-11168
11618,Old Accession Number,B-11176
11619,Old Accession Number,B-11177
11629,Old Accession Number,B-11187
11631,Old Accession Number,B-11189
11635,Old Accession Number,B-11194
11638,Old Accession Number,B-11197
11639,Old Accession Number,B-11198
11641,Old Accession Number,B-11200
11644,Old Accession Number,B-21781
11652,Old Accession Number,B-22777
11661,Old Accession Number,B-22780
11663,Old Accession Number,B-22780
11664,Old Accession Number,B-22780
11665,Old Accession Number,B-22780
11667,Old Accession Number,B-22780
11670,Old Accession Number,B-22780
11680,Old Accession Number,B-22780
11684,Old Accession Number,B-22781
11692,Old Accession Number,B-22781
11694,Old Accession Number,B-22781
11700,Old Accession Number,B-22781
11702,Old Accession Number,B-22781
11708,Old Accession Number,B-22781
11711,Old Accession Number,B-22783
11724,Old Accession Number,B-22783
11726,Old Accession Number,B-22785
11731,Old Accession Number,B-22790
11733,Old Accession Number,B-22792
11736,Old Accession Number,B-22795
11740,Old Accession Number,B-22798
11744,Old Accession Number,B-22802
11748,Old Accession Number,B-22805
11750,Old Accession Number,B-22807
11755,Old Accession Number,B-22810
11758,Old Accession Number,B-22813
11765,Old Accession Number,B-22820
11776,Old Accession Number,B-22830
11777,Old Accession Number,B-22831
11785,Old Accession Number,B-22839
11786,Old Accession Number,B-22840
11792,Old Accession Number,B-22846
11796,Old Accession Number,B-22848
11801,Old Accession Number,B-22852
11812,Old Accession Number,B-22860
11818,Old Accession Number,B-22865
11830,Old Accession Number,B-22875
11831,Old Accession Number,B-22876
11832,Old Accession Number,B-22877
11840,Old Accession Number,B-2873
11841,Old Accession Number,B-2873
11854,Old Accession Number,B-3927
11858,Old Accession Number,B-5237
11870,Old Accession Number,B-5224
11871,Old Accession Number,B-5224
11872,Old Accession Number,B-5224
11873,Old Accession Number,B-5224
