uuid,idschemelabel,identifier
001c637c-55da-4eac-84a1-b98ec7591ce0,Wikidata ID,Q76454636
001cea79-73bb-48e3-b03b-254457ab7ec0,Old Accession Number,B-17286
001cea79-73bb-48e3-b03b-254457ab7ec0,Wikidata ID,Q65214191
001d1540-a951-46bb-a249-dc61871537b4,Wikidata ID,Q76552417
001dc37c-fe48-4004-a40a-d6ffd441cade,Old Accession Number,B-2826
001dc37c-fe48-4004-a40a-d6ffd441cade,Wikidata ID,Q64957434
001e0cb4-3b7c-4ac2-b65d-bda6e12e20d4,Old Accession Number,I-1758
001e0cb4-3b7c-4ac2-b65d-bda6e12e20d4,Wikidata ID,Q64572516
001ed506-b5c8-4ef3-ac20-f246b827ff4d,Wikidata ID,Q2821813
001f7e43-490e-4fbb-aa1d-1175b75e8c48,Wikidata ID,Q76439479
001fab08-9e1a-4597-9c3c-102101ee352c,Wikidata ID,Q64579590
00206fbe-4bef-40ff-98b7-0cdd88ef09f7,ULAN ID,500105615
00206fbe-4bef-40ff-98b7-0cdd88ef09f7,Wikidata ID,Q94296230
0020ec4e-d787-4a4c-b4c7-9a32aa7d4ad5,Wikidata ID,Q74885154
00211319-8bc8-439e-b8af-ff2e74cd6c45,Old Accession Number,B-5131
00211319-8bc8-439e-b8af-ff2e74cd6c45,Wikidata ID,Q64962129
002139f1-a49a-4daf-b6e7-66fbdeb5a6ab,ULAN ID,500335098
002139f1-a49a-4daf-b6e7-66fbdeb5a6ab,Wikidata ID,Q109886304
00214ad5-e82f-4513-9735-461a733d3ede,Wikidata ID,Q76441703
0021f626-d4a5-41ae-b5bf-7233529d9784,Wikidata ID,Q64570120
002287b1-3b87-4db5-acd8-7a778d7cc4c0,Wikidata ID,Q64628511
0022b46e-e20d-4a5e-97c8-d6aecf23d631,Old Accession Number,I-5052
0022b46e-e20d-4a5e-97c8-d6aecf23d631,Wikidata ID,Q64569856
0022b850-1163-4775-bb2f-c49b891a5fbe,Wikidata ID,Q76548945
0022e767-2572-4942-b2e6-ad41b402e6ea,Key Set Number,133
0022e767-2572-4942-b2e6-ad41b402e6ea,Old Accession Number,D-150
0022e767-2572-4942-b2e6-ad41b402e6ea,Stieglitz Estate Number,78A
0022e767-2572-4942-b2e6-ad41b402e6ea,Wikidata ID,Q64037715
00232286-bce5-4675-ad15-3a68ded71942,Wikidata ID,Q64539947
0023be25-965f-4e48-82d9-faebb09a4b70,Wikidata ID,Q76559925
002446d8-2f1f-4966-a81e-508401d863d9,Wikidata ID,Q64570489
00247ecd-e65d-40f0-bf1e-ac6e01683b7a,Wikidata ID,Q77010274
002591b8-4fba-45c6-893e-b085df1b177e,ULAN ID,500006728
002591b8-4fba-45c6-893e-b085df1b177e,Wikidata ID,Q21369214
0025d7f5-8ea6-4c37-83b0-41cfe5653954,Wikidata ID,Q313460
00261526-60a8-4be1-9a0c-6237c92473e1,Wikidata ID,Q77011190
00281542-8124-47b8-8dd8-245d1ac7e353,Wikidata ID,Q64579651
002843b5-4ef9-454b-9e3d-5750ba0905e1,Wikidata ID,Q74878293
002884c7-5eaf-4661-a11c-73b20a56ce88,Wikidata ID,Q20188877
0028b002-07fc-4dea-b8c8-4c245074cca4,Wikidata ID,Q64592609
0029fdd2-0c15-4214-ba85-c70e7ab359e5,Old Accession Number,B-10468
0029fdd2-0c15-4214-ba85-c70e7ab359e5,Wikidata ID,Q65021823
002a079e-f8ac-4c34-9062-566e6efcbcc2,Wikidata ID,Q64539539
002a8c04-2f8a-4ae2-9581-bff04be37a0e,Wikidata ID,Q75426137
002b0729-4fd0-4d89-b922-1c86c1f76f39,ULAN ID,500017688
002b0729-4fd0-4d89-b922-1c86c1f76f39,Wikidata ID,Q1446612
002b15d4-da3c-4a27-b76e-e868dbd84823,Wikidata ID,Q76558002
002b8783-2dd6-405d-b4fd-105383778be1,Wikidata ID,Q75443000
002ba4e6-7381-4b25-95f1-fda5c9343cd9,Wikidata ID,Q20194288
002c4ca2-3f75-45d1-b07f-380f0ad233c8,Old Accession Number,B-12842
002c4ca2-3f75-45d1-b07f-380f0ad233c8,Wikidata ID,Q65083439
002c9305-1264-4d15-9c18-5580fa251819,Old Accession Number,B-15481
002c9305-1264-4d15-9c18-5580fa251819,Wikidata ID,Q65074585
002e1fc7-71e6-404c-a87b-35c538911b94,Wikidata ID,Q74896342
002ea840-0f52-4bc6-a90a-7c28d9912231,Old Accession Number,B-12608
002ea840-0f52-4bc6-a90a-7c28d9912231,Wikidata ID,Q65082579
002ef953-b176-4c50-a85d-13a47196e216,Wikidata ID,Q63861979
0030a211-4cac-498f-a92b-add2f8ee78e9,Old Accession Number,B-21894
0030a211-4cac-498f-a92b-add2f8ee78e9,Wikidata ID,Q65357152
0031cf2a-f0e8-4a79-a199-b2788bbc6b09,Wikidata ID,Q64583438
003284c3-ea9d-4ca3-b742-8a86cd76cb97,Wikidata ID,Q64584055
003299e8-8c1c-4c92-baa6-a3737d3e1d38,Old Accession Number,B-3126
003299e8-8c1c-4c92-baa6-a3737d3e1d38,Wikidata ID,Q64953015
0032f8a9-f6ec-4801-92e6-df4b56b2a9d6,Old Accession Number,A-653
0032f8a9-f6ec-4801-92e6-df4b56b2a9d6,Wikidata ID,Q63815282
0033e298-724b-4446-a319-20ba18d11317,Old Accession Number,B-30570
00341ef3-e371-4b16-998b-f84e0cb3b287,Wikidata ID,Q64611155
00364ba3-10f1-4337-a3a5-5065474da84b,Wikidata ID,Q64159218
0036bb69-367c-4be7-b26e-96b016a3f5f3,Old Accession Number,I-8798
0036bb69-367c-4be7-b26e-96b016a3f5f3,Wikidata ID,Q64570427
0036e52d-6a52-4dc1-a19c-ffb1da2474af,Old Accession Number,B-6370
0036e52d-6a52-4dc1-a19c-ffb1da2474af,Wikidata ID,Q64962300
0036f150-1e83-482e-9b62-78918d7e6407,Wikidata ID,Q76559227
0036f51f-75a0-4f4a-8e20-fd706ea40d19,Old Accession Number,2771
0036f51f-75a0-4f4a-8e20-fd706ea40d19,Wikidata ID,Q20191137
003773ac-4f6e-4e24-b7e4-870489d82a8f,Old Accession Number,B-34200
003773ac-4f6e-4e24-b7e4-870489d82a8f,Wikidata ID,Q74032861
003797bd-1684-4acb-bd88-9ea6057ba567,Old Accession Number,I-4753
003797bd-1684-4acb-bd88-9ea6057ba567,Wikidata ID,Q64537861
0037b741-ddb1-4d10-be0b-9b916071fd87,ULAN ID,500012314
0037b741-ddb1-4d10-be0b-9b916071fd87,Wikidata ID,Q7176340
00380be4-e7ff-46cf-ba4e-e51fc9d64a93,Old Accession Number,B-7235
00380be4-e7ff-46cf-ba4e-e51fc9d64a93,Wikidata ID,Q64571889
00383fe2-93eb-4866-9b77-e90a91cffc33,Wikidata ID,Q62471128
003891e2-ef49-40fb-991d-bae4937aac06,Old Accession Number,I-14367
003891e2-ef49-40fb-991d-bae4937aac06,Wikidata ID,Q64534394
00393288-bbfe-478e-8390-bdd07e7b0980,Wikidata ID,Q64592127
003ac4e0-7adc-4e5e-9851-33e219d29ca8,Old Accession Number,B-26819
003ac4e0-7adc-4e5e-9851-33e219d29ca8,Wikidata ID,Q65569013
003b6140-2085-4274-80b3-ede1189837db,Old Accession Number,I-2228
003b6140-2085-4274-80b3-ede1189837db,Wikidata ID,Q64633872
003d07e6-9217-420b-ac75-4d64e94dd679,ULAN ID,500037179
003d7eae-06be-4df7-b006-2ed2ed5d6261,Old Accession Number,B-24182
003d7eae-06be-4df7-b006-2ed2ed5d6261,Wikidata ID,Q65511366
003d8acd-7fc5-4bbe-babc-2a36346439fa,Wikidata ID,Q74072705
003de3cc-feee-4b02-9812-327ecc8721f0,ULAN ID,500001538
003de3cc-feee-4b02-9812-327ecc8721f0,Wikidata ID,Q104804169
003e3f16-5353-4c5f-8dc5-3fa6aa66120d,Wikidata ID,Q64633616
003e9174-40eb-4fa7-8e2d-410985df1635,Wikidata ID,Q64165302
003fdbed-ebd2-49f9-b902-e7e3cb68fce6,Old Accession Number,B-11381
003fdbed-ebd2-49f9-b902-e7e3cb68fce6,Wikidata ID,Q65018934
00400ea5-ac62-43ef-86a7-b8fb8b3d00db,Old Accession Number,B-33655
00400ea5-ac62-43ef-86a7-b8fb8b3d00db,Wikidata ID,Q64619697
00404cc4-ce93-4f1f-9715-5c2c25c9e7d1,Old Accession Number,561
00404cc4-ce93-4f1f-9715-5c2c25c9e7d1,Wikidata ID,Q20185955
004336dd-5f03-4337-8adf-a5969b7ff866,Old Accession Number,I-8077
