uuid,idschemelabel,identifier
34be19fa-9dad-48e7-8387-1a5c54a92aef,Wikidata ID,Q63847358
34be43df-d911-4186-8f9c-a4e35561314c,Old Accession Number,B-26455
34be43df-d911-4186-8f9c-a4e35561314c,Wikidata ID,Q65564919
34c1fa5d-7d9d-4c81-88fd-dc088fb5dee9,Wikidata ID,Q74889949
34c21a76-468c-4533-a466-db207257e744,ULAN ID,500003126
34c21a76-468c-4533-a466-db207257e744,Wikidata ID,Q346502
34c239a4-e74a-470d-945b-f3fc87ee3d39,ULAN ID,500015476
34c239a4-e74a-470d-945b-f3fc87ee3d39,Wikidata ID,Q6259579
34c23f30-b4b2-4024-912e-30f040d0e762,Old Accession Number,I-11992
34c23f30-b4b2-4024-912e-30f040d0e762,Wikidata ID,Q64572634
34c27e6a-c2ec-411f-bc2f-637ce43bebd5,Wikidata ID,Q74073690
34c2e8c3-aa3d-4cd4-9af9-ce9c369b7a59,Old Accession Number,B-8799
34c2e8c3-aa3d-4cd4-9af9-ce9c369b7a59,Wikidata ID,Q65025383
34c2f915-8bda-4b9b-bf3a-7085bc180805,Old Accession Number,B-21448
34c2f915-8bda-4b9b-bf3a-7085bc180805,Wikidata ID,Q65219077
34c370ba-2fc7-49d8-981c-f5da35ca5a33,Wikidata ID,Q77012846
34c4656f-eb1e-4df0-ac14-c912d30ad3eb,Wikidata ID,Q64596190
34c49ffc-cdc2-4142-9a68-716cdf19f6a0,Wikidata ID,Q1578485
34c4dcd9-f07f-449f-af46-e35c0be40bfe,Wikidata ID,Q64170148
34c56bbe-7fc3-47fe-82b2-3ed87acfe7b7,Wikidata ID,Q76549708
34c621b9-8705-44d9-859c-fc8511fe2705,Wikidata ID,Q64628308
34c7be7f-8bb5-40f5-9d79-4f6b5085e74d,Wikidata ID,Q76560586
34c80167-05e8-4dae-b4e3-f85c87a15790,Old Accession Number,B-33280
34c80167-05e8-4dae-b4e3-f85c87a15790,Wikidata ID,Q65568695
34c83e40-01c4-43a3-aade-241ddac968d1,Old Accession Number,I-5525
34c83e40-01c4-43a3-aade-241ddac968d1,Wikidata ID,Q64571085
34c8f404-3f18-43cf-9602-d20ee441e358,Wikidata ID,Q75443571
34c9e2b6-d66e-42f7-a384-919b3d1d7cce,Wikidata ID,Q76345508
34ca32c6-a6b7-47ec-95b5-1ba66ae18754,Old Accession Number,2471
34ca32c6-a6b7-47ec-95b5-1ba66ae18754,Wikidata ID,Q20190774
34cb3d8e-92d2-4d4e-87a0-24aec0b09a3b,Old Accession Number,A-672
34cb3d8e-92d2-4d4e-87a0-24aec0b09a3b,Wikidata ID,Q63814878
34cb8283-de64-4e75-b507-159fae8a1e78,ULAN ID,500023868
34cb8283-de64-4e75-b507-159fae8a1e78,Wikidata ID,Q1447844
34cc13db-608e-420a-a05a-d0fe00dd8a99,Wikidata ID,Q74066207
34cc1ba6-186b-4236-8638-89213651c99d,Key Set Number,852
34cc1ba6-186b-4236-8638-89213651c99d,Old Accession Number,D-580
34cc1ba6-186b-4236-8638-89213651c99d,Stieglitz Estate Number,45C
34cc1ba6-186b-4236-8638-89213651c99d,Wikidata ID,Q64035220
34cc5c89-165c-40fe-a7e2-b7d668462ae4,Old Accession Number,B-26170
34cc5c89-165c-40fe-a7e2-b7d668462ae4,Wikidata ID,Q65572636
34cca410-dd52-4ffb-af19-3a2bd5ca522f,Old Accession Number,B-10127
34cca410-dd52-4ffb-af19-3a2bd5ca522f,Wikidata ID,Q65022358
34cccf5e-cc59-4b2d-a984-28c6fdb4c843,Old Accession Number,I-15828
34cccf5e-cc59-4b2d-a984-28c6fdb4c843,Wikidata ID,Q64633830
34ccedc5-d415-4050-bd67-dbf48f25e203,Key Set Number,1631
34ccedc5-d415-4050-bd67-dbf48f25e203,Old Accession Number,D-762
34ccedc5-d415-4050-bd67-dbf48f25e203,Stieglitz Estate Number,181C
34ccedc5-d415-4050-bd67-dbf48f25e203,Wikidata ID,Q64035693
34ccee45-5975-4496-88b0-3531464fe211,Wikidata ID,Q77008373
34cd8e1c-e86f-4a00-926e-22a0a108993e,Wikidata ID,Q76553255
34cdeea7-b79f-4cf0-abf8-b1211759728f,Old Accession Number,B-285
34cdeea7-b79f-4cf0-abf8-b1211759728f,Wikidata ID,Q64954472
34ce1ea9-0feb-4b8c-ac47-9c503feaea49,Wikidata ID,Q74064706
34cf8727-bdcf-45c9-9dbd-4bb436725020,Old Accession Number,B-29345
34cf8727-bdcf-45c9-9dbd-4bb436725020,Wikidata ID,Q65509162
34d00e12-090e-460e-922b-b7d4859ff937,Wikidata ID,Q444893
34d05894-63c4-4f99-b5e0-fd5098a2126b,Wikidata ID,Q64166068
34d10636-bf88-4c77-b345-23d889ad7c97,Old Accession Number,A-1781
34d10636-bf88-4c77-b345-23d889ad7c97,Wikidata ID,Q63854686
34d11126-4224-4e62-818c-dfbbba4aa841,Wikidata ID,Q64164530
34d1938b-6b77-4f36-8315-3b77dbfe67ee,Old Accession Number,B-4885
34d1938b-6b77-4f36-8315-3b77dbfe67ee,Wikidata ID,Q65019706
34d21784-a69b-4336-987f-8c65b82554f6,Wikidata ID,Q77009798
34d24d09-ddfa-442c-b5d5-f70cb4026634,ULAN ID,500016993
34d24d09-ddfa-442c-b5d5-f70cb4026634,Wikidata ID,Q5730554
34d2e1f1-de2c-42d8-bacc-3b3c111e6dae,Key Set Number,783
34d2e1f1-de2c-42d8-bacc-3b3c111e6dae,Old Accession Number,D-534
34d2e1f1-de2c-42d8-bacc-3b3c111e6dae,Stieglitz Estate Number,19D
34d2e1f1-de2c-42d8-bacc-3b3c111e6dae,Wikidata ID,Q64035110
34d2e981-f422-4f53-a27b-92b550e5f617,Old Accession Number,B-19535
34d2e981-f422-4f53-a27b-92b550e5f617,Wikidata ID,Q65222924
34d32af6-583b-44f6-8dae-9630261f7e69,Old Accession Number,B-30312
34d32af6-583b-44f6-8dae-9630261f7e69,Wikidata ID,Q65567230
34d38108-5b05-42e4-826f-bbeeb67bd070,Wikidata ID,Q77260668
34d396b3-667f-47bf-b12a-087c05dd302a,Wikidata ID,Q64157944
34d48ea1-04bb-4354-953e-44408d0e0ed3,Old Accession Number,B-19698
34d48ea1-04bb-4354-953e-44408d0e0ed3,Wikidata ID,Q65361050
34d5b3a9-6ee1-44ba-9b29-97cf0615cab7,Wikidata ID,Q64611398
34d5fd61-b510-4e62-8ada-400f3ce992ac,Wikidata ID,Q64560164
34d667c1-ad67-482b-a7b0-13c9ae723130,Old Accession Number,B-22416
34d667c1-ad67-482b-a7b0-13c9ae723130,Wikidata ID,Q65511983
34d7443d-c309-41bb-b915-d82addbad609,Old Accession Number,I-8065
34d7443d-c309-41bb-b915-d82addbad609,Wikidata ID,Q64592721
34d7f543-e962-4a2d-9551-6375d90256a1,ULAN ID,500011898
34d83dfd-5251-4746-9f9b-e3e223a69a4f,Old Accession Number,B-33523
34d83dfd-5251-4746-9f9b-e3e223a69a4f,Wikidata ID,Q74031910
34d86f3b-1f60-4202-a34f-92021b27bd70,Old Accession Number,A-1559
34d86f3b-1f60-4202-a34f-92021b27bd70,Old Accession Number,C-171
34d86f3b-1f60-4202-a34f-92021b27bd70,Wikidata ID,Q63809752
34d874dd-48f8-4250-a028-b711f78a5384,Wikidata ID,Q76440515
34d8e2c0-5cc9-488b-a1f2-8afc384bcb0d,ULAN ID,500003280
34d8e2c0-5cc9-488b-a1f2-8afc384bcb0d,Wikidata ID,Q664291
34d8f41b-865f-4daf-b292-80c978d8133c,Wikidata ID,Q74072018
34d96b5f-0ada-4af2-b372-0c318ee8ca43,Old Accession Number,I-17059
34d96b5f-0ada-4af2-b372-0c318ee8ca43,Wikidata ID,Q64591155
34d9b5f3-9e85-4008-bef7-d9b9b1795243,Wikidata ID,Q76360397
34da7c01-af44-467c-b249-9d35602e6059,Wikidata ID,Q64146937
34da809a-dd1e-46f2-9616-343b0f06f36b,Wikidata ID,Q20193275
34daad22-24ad-4e3c-932b-a30242b6a1cd,Old Accession Number,B-14182
34daad22-24ad-4e3c-932b-a30242b6a1cd,Wikidata ID,Q65073254
34db4b42-a1bc-43cc-9837-302fb1e255f8,Wikidata ID,Q74071370
34db4dad-369a-4c9f-b7bc-3064c05a7063,Old Accession Number,2866
34db4dad-369a-4c9f-b7bc-3064c05a7063,Wikidata ID,Q20197778
34db6dbe-8f9b-4e97-ac62-6e7c07a38cc0,Old Accession Number,I-1249
34db6dbe-8f9b-4e97-ac62-6e7c07a38cc0,Wikidata ID,Q64581040
34dc7774-ae9f-478a-802c-7b3ef312d585,ULAN ID,500004276
34dc7774-ae9f-478a-802c-7b3ef312d585,Wikidata ID,Q7324877
34dc83c4-dcfc-41f7-a197-58fdb9ffb6c5,Wikidata ID,Q74890704
34dd5f3e-bd5b-4c76-8826-9c4ba5bf5a08,Old Accession Number,B-5252
34dd5f3e-bd5b-4c76-8826-9c4ba5bf5a08,Wikidata ID,Q65087117
34dd946d-566a-4d64-934d-6fd0c190351f,Old Accession Number,B-11969
34dd946d-566a-4d64-934d-6fd0c190351f,Wikidata ID,Q65085006
34ddbcf3-c39b-4c13-8b79-65f535d4533d,Wikidata ID,Q64161361
34dde926-5949-45b7-8262-8884e8feead6,Old Accession Number,B-16750
34dde926-5949-45b7-8262-8884e8feead6,Wikidata ID,Q65222418
34de6d1c-90f9-49c0-a98a-ebbf371ed69e,Old Accession Number,I-15089
34de6d1c-90f9-49c0-a98a-ebbf371ed69e,Wikidata ID,Q64573436
34de71b9-cdaf-4b4f-bbfa-686f0d5fcc11,Old Accession Number,I-18040
34de71b9-cdaf-4b4f-bbfa-686f0d5fcc11,Wikidata ID,Q64535505
34de8373-ad83-40b9-aeb8-dad9f89565ca,Wikidata ID,Q64144631
34df0cd2-31f1-40e9-a496-9f8285e9a6f6,Old Accession Number,B-22157
34df0cd2-31f1-40e9-a496-9f8285e9a6f6,Wikidata ID,Q63854453
34df657a-6b98-481a-b8ad-abc1a75f0e54,ULAN ID,500053815
34df657a-6b98-481a-b8ad-abc1a75f0e54,Wikidata ID,Q7706907
34dff46d-42f0-4d78-9009-4ba535d20dea,Wikidata ID,Q64154800
34e0a455-7c0a-4ed6-b164-6f16d9cdd813,ULAN ID,500044712
34e0a455-7c0a-4ed6-b164-6f16d9cdd813,Wikidata ID,Q21403093
34e2cbfe-3067-4d98-894b-b6e8f90b9654,Wikidata ID,Q64162597
34e3694a-4f91-45f1-84eb-de5b188c7f83,Wikidata ID,Q64163004
34e39287-d96f-48ba-a7da-9a98cc011414,Old Accession Number,I-15177
34e39287-d96f-48ba-a7da-9a98cc011414,Wikidata ID,Q64582764
34e3ec4c-e405-4028-b287-e3f8da7b7388,Old Accession Number,B-22553
34e3ec4c-e405-4028-b287-e3f8da7b7388,Wikidata ID,Q65510239
34e44413-fe85-414f-9229-92934150ffb0,Wikidata ID,Q64158593
34e4e891-22ab-4fdc-a053-21fff1da54aa,ULAN ID,500115358
34e4e891-22ab-4fdc-a053-21fff1da54aa,Wikidata ID,Q342467
34e5897b-81d8-4b08-bf8e-b202605573d3,Wikidata ID,Q64155027
34e5da19-ca3e-4ebf-a060-f739ca703f60,Old Accession Number,I-2414
34e5da19-ca3e-4ebf-a060-f739ca703f60,Wikidata ID,Q64537388
34e60392-5c61-43b2-b259-65e4d7d8968e,ULAN ID,500108404
34e60b12-1ad5-42a6-a7f5-1bb14a3e3ef8,Old Accession Number,I-5479
34e60b12-1ad5-42a6-a7f5-1bb14a3e3ef8,Wikidata ID,Q64579216
34e63b8e-66fd-482b-820d-5741dbcf5838,Old Accession Number,B-11879
34e63b8e-66fd-482b-820d-5741dbcf5838,Wikidata ID,Q65084691
34e67e1f-7b85-4051-8691-cacbd886f4be,ULAN ID,500025942
34e67e1f-7b85-4051-8691-cacbd886f4be,Wikidata ID,Q931846
34e75363-b422-47e4-99f7-b3621079a994,Wikidata ID,Q64147568
34e77647-e54c-4c18-974b-aecc7a4da39f,Old Accession Number,B-14614
34e77647-e54c-4c18-974b-aecc7a4da39f,Wikidata ID,Q65068643
34e7d8ec-4587-47f2-8751-9fc12f3561ab,Old Accession Number,I-11806
34e7d8ec-4587-47f2-8751-9fc12f3561ab,Wikidata ID,Q64533549
34e7f2c2-9dda-4e36-9600-cd05603ba283,Old Accession Number,B-2083
34e7f2c2-9dda-4e36-9600-cd05603ba283,Wikidata ID,Q64958812
34e8428b-46d7-4892-9285-e54b48a909c8,Wikidata ID,Q76548281
34e8e8e1-42b8-438e-9c84-df50744a6ea9,Old Accession Number,A-1013
34e8e8e1-42b8-438e-9c84-df50744a6ea9,Wikidata ID,Q63847886
34e8f26e-d81c-47a5-9588-2a7c810e579e,Old Accession Number,B-14707
34e912bf-c62e-47a6-885a-8b27244a69bc,Wikidata ID,Q77259891
34e97ee1-a4f7-4728-ab70-b7f93800272e,Old Accession Number,I-10946
34e97ee1-a4f7-4728-ab70-b7f93800272e,Wikidata ID,Q64619186
34ea037a-1069-4ca6-8810-260581afb3ed,Old Accession Number,I-7635
34ea037a-1069-4ca6-8810-260581afb3ed,Wikidata ID,Q64534979
34ea187b-87d9-4ad3-80c5-85e73b370a01,Old Accession Number,I-16700
34ea187b-87d9-4ad3-80c5-85e73b370a01,Wikidata ID,Q64538683
34eac8f1-2a67-47d8-b9b3-3473f0f85dc0,Wikidata ID,Q64154319
34eadab2-8e66-470d-8459-a3850cd3714a,Old Accession Number,B-34008
34eadab2-8e66-470d-8459-a3850cd3714a,Wikidata ID,Q74036206
34ec488b-d665-4283-92c1-134a7fd2c37c,Old Accession Number,B-30787
34ec488b-d665-4283-92c1-134a7fd2c37c,Wikidata ID,Q64538559
34ec8ba2-fa28-4a85-810d-93e226ca96f8,Old Accession Number,B-13218
34ec8ba2-fa28-4a85-810d-93e226ca96f8,Wikidata ID,Q65087059
34edebca-6ecc-40ca-b36c-142b829b7974,Old Accession Number,I-12603
34edebca-6ecc-40ca-b36c-142b829b7974,Wikidata ID,Q64618191
34edf6b7-dc6d-464b-bb5d-11aa201b12b4,Old Accession Number,B-3633
34edf6b7-dc6d-464b-bb5d-11aa201b12b4,Wikidata ID,Q64961462
34edf8bf-8cb4-4655-a6cd-2b051d604d9f,Wikidata ID,Q64162336
34ee4fc7-d8a9-4bb6-91c7-c11732513787,Old Accession Number,B-34789
34ee4fc7-d8a9-4bb6-91c7-c11732513787,Wikidata ID,Q74033923
34ee534b-b3c3-4a0d-959a-eb1702901f6e,Old Accession Number,B-24598
34ee534b-b3c3-4a0d-959a-eb1702901f6e,Wikidata ID,Q65510534
34ee8bb8-471c-4ee1-8fd4-c3b2f4bef41e,Wikidata ID,Q76561912
34ef5f2b-0fa0-4fbd-9e51-f6835a7d3cf9,Wikidata ID,Q75396561
34ef73ff-f68e-4858-8d39-449c40a71f75,Old Accession Number,B-18551
34ef73ff-f68e-4858-8d39-449c40a71f75,Wikidata ID,Q65214132
34f00335-4122-49c8-a5c9-afa78c8812f0,Wikidata ID,Q76337368
34f00b1c-7549-4312-b75b-5428e867acb2,Old Accession Number,B-19603
34f00b1c-7549-4312-b75b-5428e867acb2,Wikidata ID,Q65223337
34f0259f-4e73-44c8-83ec-a42b50bdf327,Wikidata ID,Q64533758
34f055e0-248e-481f-9012-338c4f14cb92,Wikidata ID,Q76441929
34f06a1c-43f7-43a8-b3fb-77e77e186993,Old Accession Number,B-18771
34f06a1c-43f7-43a8-b3fb-77e77e186993,Wikidata ID,Q65222919
34f0d0ae-5cc4-4f96-b9db-d03494d7bf66,Old Accession Number,B-27902
34f0d0ae-5cc4-4f96-b9db-d03494d7bf66,Wikidata ID,Q65509076
34f0ec6d-3dc5-4dd2-93f6-78a40d3e6621,Old Accession Number,I-3145
34f0ec6d-3dc5-4dd2-93f6-78a40d3e6621,Wikidata ID,Q64534901
34f1087c-c6fb-4250-99c4-15aae33ebb4b,Wikidata ID,Q77258795
34f1122d-696e-4ab8-baa9-db46792bc73f,Wikidata ID,Q64163661
34f16ac1-34a9-48ea-a26b-9c6a51659dbe,Old Accession Number,B-33825
34f16ac1-34a9-48ea-a26b-9c6a51659dbe,Wikidata ID,Q74039175
34f18e14-0faa-4b52-9399-add007dcb0ed,Wikidata ID,Q64596701
34f1b911-adfe-47e4-9c66-bf1d63416255,Old Accession Number,B-6966
34f1b911-adfe-47e4-9c66-bf1d63416255,Wikidata ID,Q64581309
34f322b4-2f3c-4210-9b2f-57d8211650c8,Wikidata ID,Q77262810
34f3fbcd-be29-49d6-a8db-a8eef8e47366,Wikidata ID,Q64146464
34f48c03-2089-41ba-aea9-b404d9e9cde7,Old Accession Number,B-3718
34f48c03-2089-41ba-aea9-b404d9e9cde7,Wikidata ID,Q64961821
34f55d52-b060-43ba-8a0b-8f3430054dfd,Old Accession Number,I-1333
34f55d52-b060-43ba-8a0b-8f3430054dfd,Wikidata ID,Q64632975
34f59859-3e11-4874-a088-9a3f129dc8dd,Wikidata ID,Q108775
34f6735a-abb3-4fa2-89da-7a08160430fe,Old Accession Number,B-4867
34f6735a-abb3-4fa2-89da-7a08160430fe,Wikidata ID,Q65023042
34f67a97-4fe7-4fe8-a2e6-d7722f0c7b89,Wikidata ID,Q64147406
34f6f3f8-7a17-4ba6-b097-21109635652a,Wikidata ID,Q74047687
34f71e2a-bbea-445d-84cc-f62b2a18848b,Old Accession Number,B-19585
34f71e2a-bbea-445d-84cc-f62b2a18848b,Wikidata ID,Q65225140
34f7203e-ef30-491f-bfd2-37036296d51a,Wikidata ID,Q76553549
34f8225c-2192-4ab4-96c2-75dc404739ea,Wikidata ID,Q74041570
34f86c0d-1734-4e27-8288-775f8e026c8a,Old Accession Number,B-4590
34f86c0d-1734-4e27-8288-775f8e026c8a,Wikidata ID,Q65023623
34f8ea2c-e488-4211-8030-95163793c890,Wikidata ID,Q75124326
34f95b89-e70f-426a-849d-b61f5689c515,Wikidata ID,Q75405705
34fa0e96-e89d-4285-ba60-15100a928e3b,Wikidata ID,Q64073498
34fa112a-99fb-433a-84cb-8310eab24a2c,Old Accession Number,B-19413
34fa112a-99fb-433a-84cb-8310eab24a2c,Wikidata ID,Q65365490
34faf59c-a94f-4529-a722-44b070e0491e,Wikidata ID,Q76355583
34fb36e0-a36f-4b07-b849-102d5ddcf70e,Wikidata ID,Q64165451
34fb6435-dbfa-425b-af5e-39911f800f39,Wikidata ID,Q64560272
34fc0bea-ebed-4053-8b66-4bedd9aec1b7,Old Accession Number,B-29031
34fc0bea-ebed-4053-8b66-4bedd9aec1b7,Wikidata ID,Q65568588
34fcce31-402f-4654-8ac4-585158558a5a,Wikidata ID,Q64158978
34fd0718-90f0-4a36-a57b-5b2233b548de,Wikidata ID,Q64158798
34fd6760-cb7c-4ae5-a51b-36b8aafee00a,ULAN ID,500333982
34fd6760-cb7c-4ae5-a51b-36b8aafee00a,Wikidata ID,Q21079274
34fe2733-b425-4f74-aa99-9ecbea47865e,Old Accession Number,B-2565
34fe2733-b425-4f74-aa99-9ecbea47865e,Wikidata ID,Q65020429
3500c39a-bf84-475c-8a1f-71e73eec2411,Old Accession Number,B-24037
3500c39a-bf84-475c-8a1f-71e73eec2411,Wikidata ID,Q65510662
35011c27-89cf-416a-a899-fb619692c7fb,Old Accession Number,I-12853
35011c27-89cf-416a-a899-fb619692c7fb,Wikidata ID,Q64635021
35013c1e-5c49-4bb1-b722-1526a6f52cdf,Old Accession Number,B-14205
35013c1e-5c49-4bb1-b722-1526a6f52cdf,Wikidata ID,Q65073153
350335eb-ace2-42da-87f3-5432e323ac49,Old Accession Number,B-18549
350335eb-ace2-42da-87f3-5432e323ac49,Wikidata ID,Q65214118
35038d77-a331-422c-8d85-cac01cf669aa,Wikidata ID,Q75394102
3503a35f-3ad9-4899-be91-3812e33fad11,Wikidata ID,Q64533246
350428cd-8c87-49c9-b38d-20db2397f36d,Old Accession Number,B-22400
350428cd-8c87-49c9-b38d-20db2397f36d,Wikidata ID,Q64536228
35045690-ca99-4f91-afc8-a3142fffc224,Wikidata ID,Q76356607
35052a84-a4e6-4425-8088-dbfd045643fc,Wikidata ID,Q65078736
350542bd-3e0b-4fb7-993d-7f91eca59c0c,Old Accession Number,B-3258
350542bd-3e0b-4fb7-993d-7f91eca59c0c,Wikidata ID,Q64962953
350573a6-e77e-4235-bed7-3bd6b1f7bfb2,Wikidata ID,Q64172128
350591f5-4860-4843-8c20-c7bbbdf09b60,Wikidata ID,Q64628352
35074288-153e-4119-ab73-9f0e32759905,Old Accession Number,I-359
35074288-153e-4119-ab73-9f0e32759905,Wikidata ID,Q64558070
350803a0-5960-41e6-860f-a7dd312f0ffe,Wikidata ID,Q77014219
3508eecc-c9ef-46ec-b0ae-262def2e17c2,Wikidata ID,Q76339809
35096da5-1f4b-4896-a111-0f3c2d7a9097,Old Accession Number,I-8668
35096da5-1f4b-4896-a111-0f3c2d7a9097,Wikidata ID,Q64558954
350a15e8-03d2-43f9-96ad-71f5f92247ec,Wikidata ID,Q20186312
350a638a-b9bc-420f-a83a-c01f729d8bf4,Old Accession Number,B-19184
350a638a-b9bc-420f-a83a-c01f729d8bf4,Wikidata ID,Q65358588
350c8dfe-ff3c-4a65-a3a5-c52b54feeba7,Old Accession Number,B-25278
350c8dfe-ff3c-4a65-a3a5-c52b54feeba7,Wikidata ID,Q65508204
350dceb7-7f5a-4d9c-a5b5-689ddb13dbf0,Wikidata ID,Q77259555
350e0046-f1b4-4627-9f7c-ba0255411ff7,Wikidata ID,Q76343992
350ea3c9-95ff-4080-a5f5-74334f73d118,Old Accession Number,B-4375
350ea3c9-95ff-4080-a5f5-74334f73d118,Wikidata ID,Q65024168
350ea4b2-0d47-4c7a-8d0a-08da17d3707f,Wikidata ID,Q64161529
350f1018-8554-4cff-b156-a1be6ab670a4,Wikidata ID,Q64620019
350fe218-4a2f-432b-a04e-db384ef8c681,ULAN ID,500018892
350fe218-4a2f-432b-a04e-db384ef8c681,Wikidata ID,Q562540
35105393-1833-4afc-a606-2598b1c63d46,Old Accession Number,B-30499
35105393-1833-4afc-a606-2598b1c63d46,Wikidata ID,Q64571995
3510be84-544b-4dd7-9606-efe3dbad03c8,Old Accession Number,I-13611
3510be84-544b-4dd7-9606-efe3dbad03c8,Wikidata ID,Q64574944
3511ac78-9082-4858-b03f-f18b7dd7bb85,Wikidata ID,Q64144977
3511c909-5cab-453f-bbaf-2e9dec83d4f5,Wikidata ID,Q64161680
3511eab6-9143-4da6-8977-e759d66e4de7,Wikidata ID,Q75125658
3512889f-0cb9-4afd-87f3-21c2f1492790,ULAN ID,500029502
3512889f-0cb9-4afd-87f3-21c2f1492790,Wikidata ID,Q17101325
3513187d-41f8-47de-94dd-7850318a6e81,Old Accession Number,B-24118
3513187d-41f8-47de-94dd-7850318a6e81,Wikidata ID,Q65512269
3513e953-b1ea-401c-97b9-5aecceae7d5b,Wikidata ID,Q64162812
3513ea78-cb35-4028-b553-612014d8df6c,Wikidata ID,Q64163124
3514d342-3acb-4d0d-b118-67a84c02b3db,Old Accession Number,I-16766
3514d342-3acb-4d0d-b118-67a84c02b3db,Wikidata ID,Q64574323
3514f3f1-03ee-4f3c-af68-f88df518f90d,Wikidata ID,Q20197980
35153d44-e12d-4fe8-88c0-64fdb80c91ef,Old Accession Number,I-11633
35153d44-e12d-4fe8-88c0-64fdb80c91ef,Wikidata ID,Q64570026
3515c834-7bfd-42b6-8cfb-612a6fbdd58f,Old Accession Number,B-6386
3515c834-7bfd-42b6-8cfb-612a6fbdd58f,Wikidata ID,Q64955682
351656ba-fbdb-4cdc-bd5d-ebd9304c73e5,Old Accession Number,B-24159
351656ba-fbdb-4cdc-bd5d-ebd9304c73e5,Wikidata ID,Q65508108
351676fd-3558-4403-a3e0-b60700fd8f75,Old Accession Number,I-5060
351676fd-3558-4403-a3e0-b60700fd8f75,Wikidata ID,Q64536123
3516d234-c795-49d4-9def-1430f69af364,Wikidata ID,Q74878758
35176978-3aeb-4070-8d2a-fe34f711bd6a,Wikidata ID,Q64582890
3517da39-a389-4050-9acb-309defec7bdb,Wikidata ID,Q75394951
3518e6cb-852f-40c3-965d-bb6342ee88ca,Wikidata ID,Q76354688
35196ea9-c412-4fe7-b3a3-1c072df78059,Wikidata ID,Q76552835
351ac1fb-031c-410d-bd44-ca5a4ee2e4cc,Old Accession Number,B-16980
351ac1fb-031c-410d-bd44-ca5a4ee2e4cc,Wikidata ID,Q65215238
351afb2a-d269-4fe0-8fb8-a449ef646ce4,Old Accession Number,I-17583
351afb2a-d269-4fe0-8fb8-a449ef646ce4,Wikidata ID,Q64534791
351b55f7-27fb-4f96-9127-759d2cabc8ba,Wikidata ID,Q64147100
351d09d3-e2ad-4405-928d-44d7427d21cf,Old Accession Number,B-31954
351d09d3-e2ad-4405-928d-44d7427d21cf,Wikidata ID,Q77006407
351d2e62-8e4d-453e-a0cb-a827f6045411,Old Accession Number,B-24635
351d2e62-8e4d-453e-a0cb-a827f6045411,Wikidata ID,Q65507469
351d4097-b859-4511-8fd1-bdb18ed25058,Old Accession Number,I-14625
351d4097-b859-4511-8fd1-bdb18ed25058,Wikidata ID,Q64571763
351d4764-a29a-4517-bbd6-702016aef412,Wikidata ID,Q63863694
351d5d21-b9b3-4a36-88ce-a790a552b6f0,Old Accession Number,B-22125.B
351d5d21-b9b3-4a36-88ce-a790a552b6f0,Wikidata ID,Q65360871
351e45b3-430e-4745-97c1-18f807848b0d,Wikidata ID,Q64593670
351e522b-7be3-47e3-a2c1-275c9b9a3704,Old Accession Number,B-24160
351e522b-7be3-47e3-a2c1-275c9b9a3704,Wikidata ID,Q65508133
351ec20b-8745-44cf-af4e-9069894330cc,Wikidata ID,Q76551916
351ed216-43cb-462e-a095-3417ee8621b2,Old Accession Number,I-1789
351ed216-43cb-462e-a095-3417ee8621b2,Wikidata ID,Q64594085
351f4785-0e8a-4598-978f-11b8c5215955,Old Accession Number,C-451
351f4785-0e8a-4598-978f-11b8c5215955,Wikidata ID,Q62758555
351f7066-1422-4822-b588-429b7cc6a352,Wikidata ID,Q76558516
351f84ef-cda7-4495-a427-d796b28812ee,Old Accession Number,I-9009
351f84ef-cda7-4495-a427-d796b28812ee,Wikidata ID,Q64559916
351fcdaf-496e-4a47-ae18-2bcd5e95b17d,Old Accession Number,B-17209
351fcdaf-496e-4a47-ae18-2bcd5e95b17d,Wikidata ID,Q65215696
351fd480-0ca4-4b5e-8a31-90e430990484,Old Accession Number,B-7354
351fd480-0ca4-4b5e-8a31-90e430990484,Wikidata ID,Q64956331
351fe00d-a487-43f4-bbde-3b7d75789e28,Old Accession Number,B-10221
351fe00d-a487-43f4-bbde-3b7d75789e28,Wikidata ID,Q65022424
3520555c-274e-47b6-ba20-19c60647465c,Wikidata ID,Q74070648
35207aa7-7e93-4458-a1b5-b0b4b3f3e08a,Wikidata ID,Q64154603
3520a5d1-a988-48f4-bcc0-3d649e372a1a,ULAN ID,500319637
3520a5d1-a988-48f4-bcc0-3d649e372a1a,Wikidata ID,Q7790762
3521177d-9c12-457f-9e0a-2cfadb87c89e,Wikidata ID,Q76440109
35215c0e-9765-4359-878f-fcac2fb8ab6d,Wikidata ID,Q74042226
3521bb29-f382-4c2d-918e-2cc1ce8029cc,Wikidata ID,Q46624997
3521cc1b-e0e2-4ece-a531-aed2fb9666be,Old Accession Number,B-6701
3521cc1b-e0e2-4ece-a531-aed2fb9666be,Wikidata ID,Q18339715
3522130e-fd80-43a9-b71c-479764ee5adb,Old Accession Number,B-21480
3522130e-fd80-43a9-b71c-479764ee5adb,Wikidata ID,Q64581100
35221354-e409-48f2-9e32-d4e86be7ef88,Old Accession Number,I-9022
35221354-e409-48f2-9e32-d4e86be7ef88,Wikidata ID,Q64539854
35225003-0a39-4363-ae00-aa7fd7682949,Old Accession Number,I-8914
