constituentid,text,texttype,year
1857,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 612-613.",bibliography,2003
1860,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 621-622.",bibliography,2003
1868,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 631.",bibliography,2003
1874,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 636-637.",bibliography,2003
1804,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 596.",bibliography,2003
1784,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 573.",bibliography,2003
1787,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 578.",bibliography,2003
2099,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 46.",bibliography,2003
1989,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 686.",bibliography,2003
5504,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 88.",bibliography,2003
5530,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 671.",bibliography,2003
1339,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 308.",bibliography,2003
1343,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 324.",bibliography,2003
1344,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 337.",bibliography,2003
1331,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 287.",bibliography,2003
1336,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 300.",bibliography,2003
1355,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 342.",bibliography,2003
1181,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 421.",bibliography,2003
1184,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 230.",bibliography,2003
1230,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 240.",bibliography,2003
1268,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 255.",bibliography,2003
1311,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 271.",bibliography,2003
1318,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 278.",bibliography,2003
1319,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 283.",bibliography,2003
1688,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 452.",bibliography,2003
1689,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 465.",bibliography,2003
1488,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 373.",bibliography,2003
1489,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 394.",bibliography,2003
1479,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 357.",bibliography,2003
1778,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 551.",bibliography,2003
1779,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 568-569.",bibliography,2003
1750,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 530.",bibliography,2003
1507,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 428.",bibliography,2003
1691,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 181.",bibliography,2003
1694,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 496-497.",bibliography,2003
1708,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 504-505.",bibliography,2003
1727,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 526.",bibliography,2003
10791,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 479-480.",bibliography,2003
26978,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 519-520.",bibliography,2003
26979,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 519-520.",bibliography,2003
26980,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 315.",bibliography,2003
27579,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 138.",bibliography,2003
99,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 8.",bibliography,2003
119,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 36.",bibliography,2003
936,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 51.",bibliography,2003
942,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 95.",bibliography,2003
954,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 106.",bibliography,2003
963,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 130.",bibliography,2003
976,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 142.",bibliography,2003
985,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 125.",bibliography,2003
989,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 145-146.",bibliography,2003
1092,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 187.",bibliography,2003
1109,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 2.",bibliography,2003
