objectid,element,dimensiontype,dimension,unitname
1704,overall,height,43.3000000000,centimeters
1704,overall,width,19.7000000000,centimeters
1705,overall,height,43.8000000000,centimeters
1705,overall,width,18.1000000000,centimeters
1706,overall,height,43.8000000000,centimeters
1706,overall,width,17.8000000000,centimeters
1707,overall,height,42.1000000000,centimeters
1707,overall,width,18.7000000000,centimeters
1708,overall,height,42.7000000000,centimeters
1708,overall,width,21.6000000000,centimeters
1709,overall,height,3.7000000000,centimeters
1709,overall,width,7.2000000000,centimeters
1710,overall,height,39.9000000000,centimeters
1710,overall,width,13.9000000000,centimeters
1711,overall,height,20.6000000000,centimeters
1711,overall,width,18.5000000000,centimeters
1712,overall,height,21.6000000000,centimeters
1712,overall,width,18.5000000000,centimeters
1713,overall,height,18.2000000000,centimeters
1713,overall,width,11.1000000000,centimeters
1714,overall,height,17.2000000000,centimeters
1714,overall,width,10.1000000000,centimeters
1715,overall,height,16.6000000000,centimeters
1715,overall,width,10.7000000000,centimeters
1716,overall,height,18.5000000000,centimeters
1716,overall,width,10.2000000000,centimeters
1717,overall,height,23.2000000000,centimeters
1717,overall,width,13.0000000000,centimeters
1718,overall,height,21.6000000000,centimeters
1718,overall,width,12.7000000000,centimeters
1719,overall,height,17.7000000000,centimeters
1719,overall,width,8.8000000000,centimeters
1720,overall,height,18.8000000000,centimeters
1720,overall,width,12.3000000000,centimeters
1721,overall,height,15.7000000000,centimeters
1721,overall,width,8.9000000000,centimeters
1722,overall,height,10.8000000000,centimeters
1722,overall,width,9.2000000000,centimeters
1723,overall,height,7.3000000000,centimeters
1723,overall,width,10.9000000000,centimeters
1724,overall,height,6.5000000000,centimeters
1724,overall,width,9.6000000000,centimeters
1725,overall,height,45.7000000000,centimeters
1725,overall,width,23.5000000000,centimeters
1726,overall,height,14.0000000000,centimeters
1726,overall,width,8.6000000000,centimeters
1727,overall,height,15.2000000000,centimeters
1727,overall,width,8.2000000000,centimeters
1728,overall,height,32.4000000000,centimeters
1728,overall,width,19.0000000000,centimeters
1729,overall,height,12.5000000000,centimeters
1729,overall,width,20.0000000000,centimeters
1730,overall,height,43.6000000000,centimeters
1730,overall,width,24.8000000000,centimeters
1731,overall,height,3.5000000000,centimeters
1731,overall,width,20.9000000000,centimeters
1732,overall,height,3.7000000000,centimeters
1732,overall,width,20.8000000000,centimeters
1733,overall,height,3.5000000000,centimeters
1733,overall,width,19.9000000000,centimeters
1734,overall,height,3.5000000000,centimeters
1734,overall,width,20.3000000000,centimeters
1735,overall,height,3.5000000000,centimeters
1735,overall,width,15.8000000000,centimeters
1736,overall,depth,14.8000000000,centimeters
1736,overall,height,7.1000000000,centimeters
1736,overall,width,33.3000000000,centimeters
1737,overall,height,14.1000000000,centimeters
1737,overall,width,16.8000000000,centimeters
1738,overall,height,14.0000000000,centimeters
1738,overall,width,15.9000000000,centimeters
1739,overall,height,11.3000000000,centimeters
1739,overall,width,15.4000000000,centimeters
1740,overall,height,11.4000000000,centimeters
1740,overall,width,15.2000000000,centimeters
1741,overall,height,33.0000000000,centimeters
1741,overall,width,17.8000000000,centimeters
1742,overall,height,9.9000000000,centimeters
1742,overall,width,11.1000000000,centimeters
1743,overall,height,7.5000000000,centimeters
1743,overall,width,9.5000000000,centimeters
1744,overall,height,10.5000000000,centimeters
1744,overall,width,10.8000000000,centimeters
1745,overall,height,9.4000000000,centimeters
1745,overall,width,9.9000000000,centimeters
1746,overall,height,26.2000000000,centimeters
1746,overall,width,24.9000000000,centimeters
1747,overall,height,3.1000000000,centimeters
1747,overall,width,5.1000000000,centimeters
1748,overall,height,3.2000000000,centimeters
1748,overall,width,5.2000000000,centimeters
1749,overall,height,3.0000000000,centimeters
1749,overall,width,5.3000000000,centimeters
1750,overall,height,3.2000000000,centimeters
1750,overall,width,5.6000000000,centimeters
1751,overall,height,3.2000000000,centimeters
1751,overall,width,5.1000000000,centimeters
1752,overall,height,3.1000000000,centimeters
1752,overall,width,5.4000000000,centimeters
1753,overall,height,3.2000000000,centimeters
1753,overall,width,5.1000000000,centimeters
1754,overall,height,3.2000000000,centimeters
1754,overall,width,5.1000000000,centimeters
1755,overall,height,3.2000000000,centimeters
1755,overall,width,5.1000000000,centimeters
1756,overall,height,3.2000000000,centimeters
1756,overall,width,5.1000000000,centimeters
1757,overall,height,3.0000000000,centimeters
1757,overall,width,5.1000000000,centimeters
1758,overall,height,2.8000000000,centimeters
1758,overall,width,5.1000000000,centimeters
1759,overall,height,30.0000000000,centimeters
1760,overall,height,30.5000000000,centimeters
1761,overall,height,29.9000000000,centimeters
1762,overall,height,26.0000000000,centimeters
1763,overall,height,26.0000000000,centimeters
1764,overall,height,28.5000000000,centimeters
1764,overall,width,19.0000000000,centimeters
1765,overall,height,28.5000000000,centimeters
1765,overall,width,19.4000000000,centimeters
1766,overall,height,21.6000000000,centimeters
1766,overall,width,15.2000000000,centimeters
1768,overall,height,21.5000000000,centimeters
1768,overall,width,15.2000000000,centimeters
1770,overall,depth,9.2000000000,centimeters
1770,overall,height,27.5000000000,centimeters
1770,overall,width,14.0000000000,centimeters
1771,overall,height,23.8000000000,centimeters
1772,overall,height,24.1000000000,centimeters
1773,overall,height,25.4000000000,centimeters
1774,overall,depth,5.0000000000,centimeters
1774,overall,height,22.5000000000,centimeters
1774,overall,width,8.6000000000,centimeters
1775,overall,height,30.2000000000,centimeters
1776,overall,depth,6.1000000000,centimeters
1776,overall,height,29.0000000000,centimeters
1776,overall,width,10.2000000000,centimeters
1777,overall,height,13.7000000000,centimeters
1778,overall,height,14.0000000000,centimeters
1779,overall,height,14.0000000000,centimeters
1780,overall,height,34.0000000000,centimeters
1780,overall,width,22.8000000000,centimeters
1781,overall,depth,10.6000000000,centimeters
1781,overall,height,25.1000000000,centimeters
1781,overall,width,18.4000000000,centimeters
1782,overall,depth,10.0000000000,centimeters
1782,overall,height,24.7000000000,centimeters
1782,overall,width,17.8000000000,centimeters
1783,overall,height,43.2000000000,centimeters
1784,overall,height,43.2000000000,centimeters
1784,overall,width,20.3000000000,centimeters
1785,overall,height,75.2000000000,centimeters
1785,overall,width,28.3000000000,centimeters
1786,overall,depth,14.0000000000,centimeters
1786,overall,height,35.6000000000,centimeters
1786,overall,width,14.0000000000,centimeters
1787,overall,height,38.7000000000,centimeters
1787,overall,width,21.0000000000,centimeters
1788,overall,height,34.6000000000,centimeters
1788,overall,width,19.7000000000,centimeters
1789,overall,height,56.1000000000,centimeters
1790,overall,height,56.5000000000,centimeters
1791,overall,depth,17.8000000000,centimeters
1791,overall,height,50.8000000000,centimeters
1791,overall,width,19.8000000000,centimeters
1792,overall,height,46.1000000000,centimeters
1792,overall,width,22.7000000000,centimeters
1793,overall,height,46.6000000000,centimeters
1793,overall,width,23.0000000000,centimeters
1794,overall,height,49.2000000000,centimeters
1794,overall,width,14.6000000000,centimeters
1795,overall,height,42.2000000000,centimeters
1796,overall,height,44.1000000000,centimeters
1797,overall,height,9.4000000000,centimeters
1797,overall,width,22.8000000000,centimeters
1798,overall,height,60.3000000000,centimeters
1799,overall,height,60.0000000000,centimeters
1800,overall,height,60.0000000000,centimeters
1801,overall,height,59.8500000000,centimeters
1802,overall,height,69.4000000000,centimeters
1803,overall,height,67.4000000000,centimeters
1804,overall,height,74.9000000000,centimeters
1805,overall,height,69.2000000000,centimeters
1805,overall,width,27.3000000000,centimeters
1806,overall,height,70.2000000000,centimeters
1806,overall,width,27.6000000000,centimeters
1807,overall,height,62.8000000000,centimeters
1808,overall,height,74.1000000000,centimeters
1808,overall,width,28.0000000000,centimeters
1809,overall,height,77.5000000000,centimeters
1809,overall,width,29.5000000000,centimeters
1810,overall,height,77.3000000000,centimeters
1810,overall,width,28.6000000000,centimeters
1811,overall,height,133.4000000000,centimeters
1811,overall,width,48.9000000000,centimeters
1812,overall,height,133.0000000000,centimeters
1812,overall,width,49.7000000000,centimeters
1813,overall,height,50.8000000000,centimeters
1813,overall,width,25.4000000000,centimeters
1814,overall,height,50.8000000000,centimeters
1814,overall,width,25.4000000000,centimeters
1815,overall,height,50.8000000000,centimeters
1815,overall,width,25.4000000000,centimeters
1816,overall,height,34.9000000000,centimeters
1816,overall,width,19.1000000000,centimeters
1817,overall,height,35.6000000000,centimeters
1817,overall,width,18.4000000000,centimeters
1818,overall,height,43.2000000000,centimeters
1818,overall,width,61.6000000000,centimeters
1819,overall,height,41.9000000000,centimeters
1819,overall,width,59.5000000000,centimeters
1820,overall,height,43.0000000000,centimeters
1820,overall,width,60.3000000000,centimeters
1821,overall,height,44.5000000000,centimeters
1821,overall,width,59.8000000000,centimeters
1822,overall,height,42.9000000000,centimeters
1822,overall,weight,36.2877619523,pounds
1822,overall,width,58.3000000000,centimeters
1823,overall,height,49.7000000000,centimeters
1823,overall,width,56.0000000000,centimeters
1824,overall,height,49.7000000000,centimeters
1824,overall,width,56.0000000000,centimeters
1825,overall,height,46.4000000000,centimeters
1825,overall,weight,33.1125827815,pounds
1825,overall,width,57.6000000000,centimeters
1826,overall,height,142.0000000000,centimeters
1826,overall,width,59.0000000000,centimeters
1827,overall,height,126.0000000000,centimeters
1827,overall,width,61.5000000000,centimeters
1830,overall,height,51.5000000000,centimeters
1830,overall,width,544.0000000000,centimeters
1831,overall,height,169.0000000000,centimeters
1831,overall,width,80.5000000000,centimeters
1833,overall,height,161.0000000000,centimeters
1833,overall,width,284.2000000000,centimeters
1835,overall,height,33.5000000000,centimeters
1835,overall,width,23.1000000000,centimeters
1836,overall,height,28.3000000000,centimeters
1836,overall,width,19.8000000000,centimeters
1837,overall,height,15.7000000000,centimeters
1837,overall,width,13.6000000000,centimeters
1838,overall,height,18.6000000000,centimeters
1838,overall,width,27.8000000000,centimeters
1839,overall,height,12.8000000000,centimeters
1839,overall,width,7.1000000000,centimeters
1840,overall,height,13.6000000000,centimeters
1840,overall,width,9.3000000000,centimeters
1841,overall,height,8.8000000000,centimeters
1841,overall,width,11.7000000000,centimeters
1842,overall,height,17.1000000000,centimeters
1842,overall,width,16.5000000000,centimeters
1843,overall,height,21.0000000000,centimeters
1843,overall,width,33.2000000000,centimeters
1844,overall,height,20.1000000000,centimeters
1844,overall,width,13.3000000000,centimeters
1845,overall,height,18.2000000000,centimeters
1845,overall,width,22.6000000000,centimeters
1846,overall,height,14.1000000000,centimeters
1846,overall,width,20.2000000000,centimeters
1847,overall,height,17.7000000000,centimeters
1847,overall,width,23.2000000000,centimeters
1848,overall,height,20.5000000000,centimeters
1848,overall,width,29.5000000000,centimeters
1849,sheet,height,24.7000000000,centimeters
1849,sheet,width,20.5000000000,centimeters
1850,overall,height,8.5000000000,centimeters
1850,overall,width,8.2000000000,centimeters
1851,overall,height,12.8000000000,centimeters
1851,overall,width,7.3000000000,centimeters
1852,overall,height,16.6000000000,centimeters
1852,overall,width,11.9000000000,centimeters
1853,overall,height,16.3000000000,centimeters
1853,overall,width,21.0000000000,centimeters
1854,overall,height,11.3000000000,centimeters
1854,overall,width,12.3000000000,centimeters
1855,overall,height,8.4000000000,centimeters
1855,overall,width,6.9000000000,centimeters
1856,overall,height,10.0000000000,centimeters
1856,overall,width,14.3000000000,centimeters
1864,overall,height,12.0000000000,centimeters
1864,overall,width,6.5000000000,centimeters
1865,accessory size,depth,5.7000000000,centimeters
1865,accessory size,height,37.7000000000,centimeters
1865,accessory size,width,30.4000000000,centimeters
1866,overall,height,11.3000000000,centimeters
1866,overall,width,5.8000000000,centimeters
1867,overall,height,11.2000000000,centimeters
1867,overall,width,5.7000000000,centimeters
1868,overall,height,11.2000000000,centimeters
1868,overall,width,5.7000000000,centimeters
1869,overall,height,11.0000000000,centimeters
1869,overall,width,5.6000000000,centimeters
1870,overall,height,11.4000000000,centimeters
1870,overall,width,6.0000000000,centimeters
1871,overall,height,10.9000000000,centimeters
1871,overall,width,5.6000000000,centimeters
1872,overall,height,10.8000000000,centimeters
1872,overall,width,5.5000000000,centimeters
1873,overall,height,11.3000000000,centimeters
1873,overall,width,5.8000000000,centimeters
1874,overall,height,11.3000000000,centimeters
1874,overall,width,5.8000000000,centimeters
1875,overall,height,10.9000000000,centimeters
1875,overall,width,5.5000000000,centimeters
1876,overall,height,11.4000000000,centimeters
1876,overall,width,6.0000000000,centimeters
1877,overall,height,11.3000000000,centimeters
1877,overall,width,6.0000000000,centimeters
1878,overall,height,11.3000000000,centimeters
1878,overall,width,5.7000000000,centimeters
1879,overall,height,11.3000000000,centimeters
1879,overall,width,5.8000000000,centimeters
1880,overall,height,11.3000000000,centimeters
1880,overall,width,5.8000000000,centimeters
1881,overall,height,11.0000000000,centimeters
1881,overall,width,5.7000000000,centimeters
1882,overall,height,11.3000000000,centimeters
1882,overall,width,5.8000000000,centimeters
1883,overall,height,11.2000000000,centimeters
1883,overall,width,5.8000000000,centimeters
1884,overall,height,11.3000000000,centimeters
1884,overall,width,5.8000000000,centimeters
1885,overall,height,11.2000000000,centimeters
1885,overall,width,5.8000000000,centimeters
1886,overall,height,11.3000000000,centimeters
1886,overall,width,5.8000000000,centimeters
1887,overall,height,11.3000000000,centimeters
1887,overall,width,5.8000000000,centimeters
1888,overall,height,11.3000000000,centimeters
1888,overall,width,5.8000000000,centimeters
1889,overall,height,11.3000000000,centimeters
1889,overall,width,5.8000000000,centimeters
1890,overall,height,11.3000000000,centimeters
1890,overall,width,5.8000000000,centimeters
1891,overall,height,11.2000000000,centimeters
1891,overall,width,5.8000000000,centimeters
1892,overall,height,10.3000000000,centimeters
1892,overall,width,5.9000000000,centimeters
1893,overall,height,11.0000000000,centimeters
1893,overall,width,5.5000000000,centimeters
1894,overall,height,10.8000000000,centimeters
1894,overall,width,5.5000000000,centimeters
1895,overall,height,11.3000000000,centimeters
1895,overall,width,5.8000000000,centimeters
1896,overall,height,11.4000000000,centimeters
1896,overall,width,5.9000000000,centimeters
1897,overall,height,11.2000000000,centimeters
1897,overall,width,5.7000000000,centimeters
1898,overall,height,11.3000000000,centimeters
1898,overall,width,5.9000000000,centimeters
1899,overall,height,11.3000000000,centimeters
1899,overall,width,5.8000000000,centimeters
1900,overall,height,11.3000000000,centimeters
1900,overall,width,5.8000000000,centimeters
1901,overall,height,11.0000000000,centimeters
1901,overall,width,5.5000000000,centimeters
1902,overall,height,11.2000000000,centimeters
1902,overall,width,5.7000000000,centimeters
1903,overall,height,11.3000000000,centimeters
1903,overall,width,5.7000000000,centimeters
1904,overall,height,12.9000000000,centimeters
1904,overall,width,8.6000000000,centimeters
1905,accessory size,depth,5.7000000000,centimeters
1905,accessory size,height,37.7000000000,centimeters
1905,accessory size,width,30.4000000000,centimeters
1906,overall,height,11.3000000000,centimeters
1906,overall,width,6.0000000000,centimeters
1907,overall,height,11.4000000000,centimeters
1907,overall,width,6.0000000000,centimeters
1908,overall,height,11.3000000000,centimeters
1908,overall,width,5.8000000000,centimeters
1909,overall,height,11.5000000000,centimeters
1909,overall,width,5.8000000000,centimeters
1910,overall,height,11.4000000000,centimeters
1910,overall,width,5.8000000000,centimeters
1911,overall,height,11.3000000000,centimeters
1911,overall,width,5.8000000000,centimeters
1912,overall,height,11.3000000000,centimeters
1912,overall,width,5.7000000000,centimeters
1913,overall,height,11.2000000000,centimeters
1913,overall,width,5.7000000000,centimeters
1914,overall,height,11.1000000000,centimeters
1914,overall,width,5.6000000000,centimeters
1915,overall,height,11.2000000000,centimeters
1915,overall,width,5.7000000000,centimeters
1916,overall,height,11.2000000000,centimeters
1916,overall,width,5.8000000000,centimeters
1917,overall,height,11.3000000000,centimeters
1917,overall,width,5.7000000000,centimeters
1918,overall,height,11.2000000000,centimeters
1918,overall,width,5.7000000000,centimeters
1919,overall,height,11.1000000000,centimeters
1919,overall,width,5.6000000000,centimeters
1920,overall,height,11.2000000000,centimeters
1920,overall,width,5.6000000000,centimeters
1921,overall,height,11.0000000000,centimeters
1921,overall,width,5.5000000000,centimeters
1922,overall,height,11.1000000000,centimeters
1922,overall,width,5.5000000000,centimeters
1923,overall,height,11.2000000000,centimeters
1923,overall,width,5.5000000000,centimeters
1924,overall,height,11.3000000000,centimeters
1924,overall,width,5.6000000000,centimeters
1925,overall,height,11.2000000000,centimeters
1925,overall,width,5.7000000000,centimeters
1926,overall,height,11.3000000000,centimeters
1926,overall,width,5.6000000000,centimeters
1927,overall,height,11.2000000000,centimeters
1927,overall,width,5.6000000000,centimeters
1928,overall,height,11.4000000000,centimeters
1928,overall,width,15.9000000000,centimeters
1929,overall,height,10.0000000000,centimeters
1929,overall,width,5.5000000000,centimeters
1930,overall,height,11.2000000000,centimeters
1930,overall,width,5.7000000000,centimeters
1931,overall,height,11.3000000000,centimeters
1931,overall,width,5.8000000000,centimeters
1932,overall,height,11.2000000000,centimeters
1932,overall,width,5.9000000000,centimeters
1933,overall,height,11.2000000000,centimeters
1933,overall,width,5.7000000000,centimeters
1934,overall,height,11.0000000000,centimeters
1934,overall,width,5.6000000000,centimeters
1935,overall,height,11.1000000000,centimeters
1935,overall,width,5.5000000000,centimeters
1936,overall,height,11.2000000000,centimeters
1936,overall,width,5.6000000000,centimeters
1937,overall,height,11.1000000000,centimeters
1937,overall,width,5.7000000000,centimeters
1938,overall,height,11.3000000000,centimeters
1938,overall,width,5.8000000000,centimeters
1939,overall,height,11.3000000000,centimeters
1939,overall,width,5.8000000000,centimeters
1940,overall,height,11.3000000000,centimeters
1940,overall,width,5.7000000000,centimeters
1941,overall,height,11.3000000000,centimeters
1941,overall,width,5.7000000000,centimeters
1942,overall,height,11.2000000000,centimeters
1942,overall,width,5.7000000000,centimeters
1943,overall,height,12.8000000000,centimeters
1943,overall,width,8.8000000000,centimeters
1944,accessory size,depth,5.7000000000,centimeters
1944,accessory size,height,37.7000000000,centimeters
1944,accessory size,width,30.4000000000,centimeters
1945,overall,height,14.5000000000,centimeters
1945,overall,width,7.3000000000,centimeters
1946,overall,height,14.4000000000,centimeters
1946,overall,width,8.7000000000,centimeters
1947,overall,height,14.3000000000,centimeters
1947,overall,width,8.5000000000,centimeters
1948,overall,height,14.4000000000,centimeters
1948,overall,width,7.2000000000,centimeters
1949,overall,height,13.9000000000,centimeters
1949,overall,width,18.4000000000,centimeters
1950,overall,height,14.3000000000,centimeters
1950,overall,width,8.7000000000,centimeters
1951,overall,height,13.9000000000,centimeters
1951,overall,width,8.4000000000,centimeters
1952,overall,height,13.9000000000,centimeters
1952,overall,width,8.4000000000,centimeters
1953,overall,height,14.0000000000,centimeters
1953,overall,width,8.4000000000,centimeters
1954,overall,height,14.3000000000,centimeters
1954,overall,width,8.7000000000,centimeters
1955,overall,height,13.8000000000,centimeters
1955,overall,width,8.4000000000,centimeters
1956,overall,height,14.4000000000,centimeters
1956,overall,width,7.3000000000,centimeters
1957,overall,height,6.0000000000,centimeters
1957,overall,width,7.5000000000,centimeters
1958,overall,height,14.3000000000,centimeters
1958,overall,width,8.0000000000,centimeters
1959,overall,height,13.8000000000,centimeters
1959,overall,width,8.4000000000,centimeters
1960,overall,height,14.3000000000,centimeters
1960,overall,width,7.3000000000,centimeters
1961,overall,height,14.4000000000,centimeters
1961,overall,width,7.0000000000,centimeters
1962,overall,height,14.3000000000,centimeters
1962,overall,width,8.0000000000,centimeters
1963,overall,height,14.2000000000,centimeters
1963,overall,width,8.2000000000,centimeters
1964,overall,height,14.3000000000,centimeters
1964,overall,width,8.1000000000,centimeters
1965,overall,width,8.5000000000,centimeters
1966,overall,height,14.4000000000,centimeters
1966,overall,width,7.3000000000,centimeters
1967,overall,height,14.0000000000,centimeters
1967,overall,width,8.3000000000,centimeters
1968,overall,height,14.4000000000,centimeters
1968,overall,width,8.5000000000,centimeters
1969,overall,height,14.4000000000,centimeters
1969,overall,width,8.5000000000,centimeters
1970,overall,height,14.3000000000,centimeters
1970,overall,width,7.2000000000,centimeters
1971,overall,height,14.2000000000,centimeters
1971,overall,width,8.2000000000,centimeters
1972,overall,height,14.4000000000,centimeters
1972,overall,width,8.5000000000,centimeters
1973,overall,height,14.3000000000,centimeters
1973,overall,width,8.0000000000,centimeters
1974,overall,height,14.2000000000,centimeters
1974,overall,width,8.1000000000,centimeters
1975,overall,height,14.2000000000,centimeters
1975,overall,width,8.2000000000,centimeters
1976,overall,height,14.5000000000,centimeters
1976,overall,width,7.2000000000,centimeters
1977,overall,height,13.8000000000,centimeters
1977,overall,width,8.3000000000,centimeters
1983,book,depth,3.8000000000,centimeters
1983,book,height,32.4000000000,centimeters
1983,book,width,25.2000000000,centimeters
1984,page size,height,31.5000000000,centimeters
1984,page size,width,23.0000000000,centimeters
1985,page size,height,31.5000000000,centimeters
1985,page size,width,23.0000000000,centimeters
2015,image,height,13.4000000000,centimeters
2015,image,width,8.9000000000,centimeters
2044,image,height,13.2000000000,centimeters
2044,image,width,8.9000000000,centimeters
2111,image,height,13.4000000000,centimeters
2111,image,width,9.1000000000,centimeters
2156,overall,height,32.7000000000,centimeters
2156,overall,width,21.9000000000,centimeters
2216,overall,height,31.6000000000,centimeters
2216,overall,width,21.8000000000,centimeters
2234,image,height,13.3000000000,centimeters
2234,image,width,8.9000000000,centimeters
2282,overall,height,13.0000000000,centimeters
2282,overall,width,8.5000000000,centimeters
2283,book,depth,2.0000000000,centimeters
2283,book,height,36.5000000000,centimeters
2283,book,width,28.5000000000,centimeters
2284,overall,height,13.0000000000,centimeters
2284,overall,width,8.5000000000,centimeters
2285,overall,height,13.0000000000,centimeters
2285,overall,width,8.5000000000,centimeters
2286,overall,height,12.8000000000,centimeters
2286,overall,width,8.4000000000,centimeters
2287,overall,height,13.0000000000,centimeters
2287,overall,width,8.5000000000,centimeters
2288,overall,height,13.0000000000,centimeters
2288,overall,width,8.5000000000,centimeters
2289,overall,height,13.0000000000,centimeters
2289,overall,width,8.6000000000,centimeters
2290,overall,height,13.0000000000,centimeters
2290,overall,width,8.5000000000,centimeters
2291,overall,height,13.0000000000,centimeters
2291,overall,width,8.5000000000,centimeters
2292,overall,height,13.1000000000,centimeters
2292,overall,width,8.4000000000,centimeters
2293,overall,height,13.0000000000,centimeters
2293,overall,width,8.5000000000,centimeters
2294,overall,height,13.0000000000,centimeters
2294,overall,width,8.5000000000,centimeters
2295,overall,height,13.0000000000,centimeters
2295,overall,width,8.5000000000,centimeters
2296,overall,height,13.0000000000,centimeters
2296,overall,width,8.5000000000,centimeters
2297,overall,height,13.0000000000,centimeters
2297,overall,width,8.5000000000,centimeters
2298,overall,height,13.0000000000,centimeters
2298,overall,width,8.5000000000,centimeters
2299,overall,height,13.0000000000,centimeters
2299,overall,width,8.5000000000,centimeters
2300,overall,height,13.0000000000,centimeters
2300,overall,width,8.5000000000,centimeters
2301,overall,height,13.0000000000,centimeters
2301,overall,width,8.5000000000,centimeters
2302,overall,height,13.0000000000,centimeters
2302,overall,width,8.5000000000,centimeters
2303,overall,height,13.0000000000,centimeters
2303,overall,width,8.5000000000,centimeters
2304,overall,height,13.0000000000,centimeters
2304,overall,width,8.5000000000,centimeters
2305,overall,height,13.0000000000,centimeters
2305,overall,width,8.5000000000,centimeters
2306,overall,height,13.0000000000,centimeters
2306,overall,width,8.5000000000,centimeters
2307,overall,height,13.0000000000,centimeters
2307,overall,width,8.5000000000,centimeters
2308,overall,height,13.0000000000,centimeters
2308,overall,width,8.5000000000,centimeters
2309,overall,height,13.0000000000,centimeters
2309,overall,width,8.5000000000,centimeters
2310,overall,height,13.0000000000,centimeters
2310,overall,width,8.5000000000,centimeters
2311,overall,height,13.0000000000,centimeters
2311,overall,width,8.5000000000,centimeters
2312,overall,height,13.0000000000,centimeters
2312,overall,width,8.5000000000,centimeters
2313,overall,height,13.0000000000,centimeters
2313,overall,width,8.5000000000,centimeters
2314,overall,height,13.0000000000,centimeters
2314,overall,width,8.5000000000,centimeters
2315,overall,height,13.0000000000,centimeters
2315,overall,width,8.5000000000,centimeters
2316,overall,height,13.0000000000,centimeters
2316,overall,width,8.5000000000,centimeters
2317,overall,height,13.0000000000,centimeters
2317,overall,width,8.5000000000,centimeters
2318,overall,height,13.0000000000,centimeters
2318,overall,width,8.5000000000,centimeters
2319,overall,height,13.0000000000,centimeters
2319,overall,width,8.5000000000,centimeters
2320,overall,height,13.0000000000,centimeters
2320,overall,width,8.5000000000,centimeters
2321,overall,height,13.0000000000,centimeters
2321,overall,width,8.5000000000,centimeters
2322,overall,height,13.0000000000,centimeters
2322,overall,width,8.5000000000,centimeters
2323,overall,height,13.0000000000,centimeters
2323,overall,width,8.5000000000,centimeters
2324,overall,height,13.0000000000,centimeters
2324,overall,width,8.5000000000,centimeters
2325,overall,height,13.0000000000,centimeters
2325,overall,width,8.5000000000,centimeters
2326,overall,height,13.0000000000,centimeters
2326,overall,width,8.5000000000,centimeters
2327,overall,height,14.8000000000,centimeters
2327,overall,width,9.8000000000,centimeters
2328,overall,height,14.8000000000,centimeters
2328,overall,width,9.6000000000,centimeters
2329,overall,height,13.0000000000,centimeters
2329,overall,width,8.5000000000,centimeters
2330,overall,height,14.8000000000,centimeters
2330,overall,width,9.8000000000,centimeters
2331,overall,height,14.8000000000,centimeters
2331,overall,width,9.9000000000,centimeters
2345,book,depth,2.1000000000,centimeters
2345,book,height,23.8000000000,centimeters
2345,book,width,18.0000000000,centimeters
2346,page size,height,21.5000000000,centimeters
2346,page size,width,15.5000000000,centimeters
2360,overall,height,13.3000000000,centimeters
2360,overall,width,8.1000000000,centimeters
2362,overall,height,13.4000000000,centimeters
2362,overall,width,7.8000000000,centimeters
2363,overall,height,13.3000000000,centimeters
2363,overall,width,7.9000000000,centimeters
2364,overall,height,13.3000000000,centimeters
2364,overall,width,8.0000000000,centimeters
2365,overall,height,13.4000000000,centimeters
2365,overall,width,8.0000000000,centimeters
2366,overall,height,13.3000000000,centimeters
2366,overall,width,8.0000000000,centimeters
2367,overall,height,13.0000000000,centimeters
2367,overall,width,7.9000000000,centimeters
2368,overall,height,13.1000000000,centimeters
2368,overall,width,8.0000000000,centimeters
2369,overall,height,13.1000000000,centimeters
2369,overall,width,8.0000000000,centimeters
2370,overall,height,13.1000000000,centimeters
2370,overall,width,8.0000000000,centimeters
2371,overall,height,13.1000000000,centimeters
2371,overall,width,7.9000000000,centimeters
2372,overall,height,13.1000000000,centimeters
2372,overall,width,7.7000000000,centimeters
2373,overall,height,13.3000000000,centimeters
2373,overall,width,8.0000000000,centimeters
2374,overall,height,13.4000000000,centimeters
2374,overall,width,8.0000000000,centimeters
2375,overall,height,13.5000000000,centimeters
2375,overall,width,7.9000000000,centimeters
2376,overall,height,13.5000000000,centimeters
2376,overall,width,7.9000000000,centimeters
2377,overall,height,13.4000000000,centimeters
2377,overall,width,8.0000000000,centimeters
2378,overall,height,13.4000000000,centimeters
2378,overall,width,8.0000000000,centimeters
2379,overall,height,13.5000000000,centimeters
2379,overall,width,8.0000000000,centimeters
2380,overall,height,13.4000000000,centimeters
2380,overall,width,7.9000000000,centimeters
2381,overall,height,13.4000000000,centimeters
2381,overall,width,8.1000000000,centimeters
2382,overall,height,13.4000000000,centimeters
2382,overall,width,8.0000000000,centimeters
2383,overall,height,13.3000000000,centimeters
2383,overall,width,7.9000000000,centimeters
2384,overall,height,13.5000000000,centimeters
2384,overall,width,8.1000000000,centimeters
2385,overall,height,29.6000000000,centimeters
2385,overall,width,22.8000000000,centimeters
2386,overall,height,29.9000000000,centimeters
2386,overall,width,23.0000000000,centimeters
2388,book,depth,1.5000000000,centimeters
2388,book,height,32.0000000000,centimeters
2388,book,width,25.7000000000,centimeters
2427,image,height,12.8000000000,centimeters
2427,image,width,8.1000000000,centimeters
2448,book,depth,4.0000000000,centimeters
2448,book,height,42.0000000000,centimeters
2448,book,width,28.5000000000,centimeters
2449,book,depth,3.6000000000,centimeters
2449,book,height,42.0000000000,centimeters
2449,book,width,28.3000000000,centimeters
2450,book,depth,3.6000000000,centimeters
