objectid,element,dimensiontype,dimension,unitname
80,overall,width,91.5000000000,centimeters
81,overall,height,107.3000000000,centimeters
81,overall,width,91.4000000000,centimeters
82,overall,height,103.0000000000,centimeters
82,overall,width,86.0000000000,centimeters
83,overall,height,120.0000000000,centimeters
83,overall,width,101.0000000000,centimeters
84,overall,height,109.9000000000,centimeters
84,overall,width,89.5000000000,centimeters
85,overall,height,96.8000000000,centimeters
85,overall,width,66.0000000000,centimeters
86,overall,height,105.7000000000,centimeters
86,overall,width,97.8000000000,centimeters
87,overall,height,49.2000000000,centimeters
87,overall,width,41.3000000000,centimeters
88,overall,height,74.0000000000,centimeters
88,overall,width,60.0000000000,centimeters
89,overall,height,59.5000000000,centimeters
89,overall,width,47.8000000000,centimeters
90,overall,height,112.0000000000,centimeters
90,overall,width,65.8000000000,centimeters
91,overall,height,99.5000000000,centimeters
91,overall,width,55.0000000000,centimeters
92,overall,height,210.3000000000,centimeters
92,overall,width,127.0000000000,centimeters
93,overall,height,46.6000000000,centimeters
93,overall,width,30.0000000000,centimeters
94,overall,height,46.0000000000,centimeters
94,overall,width,30.0000000000,centimeters
95,overall,height,71.0000000000,centimeters
95,overall,width,58.0000000000,centimeters
96,overall,height,76.2000000000,centimeters
96,overall,width,106.7000000000,centimeters
97,overall,height,82.2000000000,centimeters
97,overall,width,66.0000000000,centimeters
98,overall,height,58.3000000000,centimeters
98,overall,width,74.0000000000,centimeters
99,overall,height,219.7000000000,centimeters
99,overall,width,153.7000000000,centimeters
100,overall,height,235.6000000000,centimeters
100,overall,width,146.5000000000,centimeters
101,overall,height,239.0000000000,centimeters
101,overall,width,147.0000000000,centimeters
102,overall,height,238.4000000000,centimeters
102,overall,width,147.2000000000,centimeters
103,overall,height,215.0000000000,centimeters
103,overall,width,149.0000000000,centimeters
104,overall,height,240.0000000000,centimeters
104,overall,width,149.0000000000,centimeters
105,overall,height,76.0000000000,centimeters
105,overall,width,63.0000000000,centimeters
106,overall,height,76.0000000000,centimeters
106,overall,width,64.0000000000,centimeters
107,overall,height,76.0000000000,centimeters
107,overall,width,64.0000000000,centimeters
108,overall,height,75.0000000000,centimeters
108,overall,width,62.0000000000,centimeters
109,overall,height,128.0000000000,centimeters
109,overall,width,102.0000000000,centimeters
110,overall,height,126.0000000000,centimeters
110,overall,width,100.0000000000,centimeters
111,overall,height,92.1000000000,centimeters
111,overall,width,71.5000000000,centimeters
112,overall,height,76.5000000000,centimeters
112,overall,width,64.0000000000,centimeters
113,overall,height,143.0000000000,centimeters
113,overall,width,113.0000000000,centimeters
114,overall,height,113.0000000000,centimeters
114,overall,width,133.4000000000,centimeters
115,overall,height,73.0000000000,centimeters
115,overall,width,91.0000000000,centimeters
116,overall,height,92.1000000000,centimeters
116,overall,width,122.2000000000,centimeters
117,overall,height,62.0000000000,centimeters
117,overall,width,94.0000000000,centimeters
118,overall,height,155.0000000000,centimeters
118,overall,width,125.0000000000,centimeters
119,overall,depth,33.5000000000,centimeters
119,overall,height,120.8000000000,centimeters
119,overall,width,47.2000000000,centimeters
120,overall,depth,15.0000000000,centimeters
120,overall,height,26.3000000000,centimeters
120,overall,width,24.7000000000,centimeters
121,overall,height,70.0000000000,centimeters
121,overall,width,47.0000000000,centimeters
122,overall,height,40.2000000000,centimeters
122,overall,width,40.2000000000,centimeters
123,overall,height,72.0000000000,centimeters
123,overall,width,57.3000000000,centimeters
124,overall,height,126.0000000000,centimeters
124,overall,width,43.0000000000,centimeters
125,overall,height,126.0000000000,centimeters
125,overall,width,43.0000000000,centimeters
126,overall,depth,22.1000000000,centimeters
126,overall,height,44.4000000000,centimeters
126,overall,width,45.2000000000,centimeters
127,diameter,diameter,60.9601219202,centimeters
128,diameter,diameter,62.0713741427,centimeters
129,diameter,diameter,54.7000000000,centimeters
130,overall,height,90.0000000000,centimeters
130,overall,width,48.0000000000,centimeters
131,overall,height,77.0000000000,centimeters
131,overall,width,41.0000000000,centimeters
132,overall,height,47.0000000000,centimeters
132,overall,width,26.5000000000,centimeters
133,overall,height,41.0000000000,centimeters
133,overall,width,30.0000000000,centimeters
134,overall,depth,28.3000000000,centimeters
134,overall,height,61.0000000000,centimeters
134,overall,width,66.0000000000,centimeters
135,overall,depth,23.0000000000,centimeters
135,overall,height,75.0000000000,centimeters
135,overall,width,38.3000000000,centimeters
136,overall,depth,30.8000000000,centimeters
136,overall,height,53.0000000000,centimeters
136,overall,width,54.0000000000,centimeters
137,overall,depth,26.0300000000,centimeters
137,overall,height,48.9000000000,centimeters
137,overall,width,52.0700000000,centimeters
138,overall,depth,94.9000000000,centimeters
138,overall,height,179.0000000000,centimeters
138,overall,width,48.5000000000,centimeters
139,overall,depth,33.7000000000,centimeters
139,overall,height,166.0000000000,centimeters
139,overall,width,44.0000000000,centimeters
140,overall,depth,65.2000000000,centimeters
140,overall,height,181.5000000000,centimeters
140,overall,width,76.0000000000,centimeters
147,overall,height,59.4000000000,centimeters
147,overall,width,34.7000000000,centimeters
160,painted surface,height,28.4000000000,centimeters
160,painted surface,width,17.0000000000,centimeters
161,painted surface,height,30.0000000000,centimeters
161,painted surface,width,18.6000000000,centimeters
165,overall,height,128.0000000000,centimeters
165,overall,width,99.0000000000,centimeters
170,overall,height,56.2000000000,centimeters
170,overall,width,45.7000000000,centimeters
172,overall,height,57.8000000000,centimeters
172,overall,width,49.6000000000,centimeters
182,painted surface,height,44.0000000000,centimeters
182,painted surface,width,32.3000000000,centimeters
183,painted surface,height,44.2000000000,centimeters
183,painted surface,width,32.5000000000,centimeters
184,painted surface,height,44.1000000000,centimeters
184,painted surface,width,32.5000000000,centimeters
186,overall,height,24.1000000000,centimeters
186,overall,width,33.6000000000,centimeters
203,overall,height,52.4000000000,centimeters
203,overall,width,75.5000000000,centimeters
204,overall,height,50.0000000000,centimeters
204,overall,width,61.7000000000,centimeters
205,overall,height,49.9000000000,centimeters
205,overall,width,61.7000000000,centimeters
207,overall,height,58.0000000000,centimeters
207,overall,width,46.0000000000,centimeters
212,overall,height,84.9000000000,centimeters
212,overall,width,35.2000000000,centimeters
213,overall,height,84.0000000000,centimeters
213,overall,width,35.0000000000,centimeters
220,overall,height,91.4000000000,centimeters
220,overall,width,68.0000000000,centimeters
221,overall,height,87.7000000000,centimeters
221,overall,width,35.9000000000,centimeters
224,overall,depth,0.5000000000,centimeters
224,overall,height,27.7000000000,centimeters
224,overall,width,21.4000000000,centimeters
229,overall,height,61.6000000000,centimeters
229,overall,width,45.4000000000,centimeters
239,overall,height,83.8000000000,centimeters
239,overall,width,71.1000000000,centimeters
241,overall,height,27.0000000000,centimeters
241,overall,width,49.0000000000,centimeters
243,overall,height,73.0000000000,centimeters
243,overall,width,56.5000000000,centimeters
248,overall,height,45.4000000000,centimeters
248,overall,width,35.3000000000,centimeters
249,overall,height,45.8000000000,centimeters
249,overall,width,35.4000000000,centimeters
250,overall,height,61.5000000000,centimeters
250,overall,width,49.1000000000,centimeters
254,overall,height,50.0000000000,centimeters
254,overall,width,76.8000000000,centimeters
255,overall,height,59.7000000000,centimeters
255,overall,width,64.8000000000,centimeters
256,overall,height,53.5000000000,centimeters
256,overall,width,36.2000000000,centimeters
258,overall,height,57.2000000000,centimeters
258,overall,width,50.2000000000,centimeters
259,painted surface,height,53.0000000000,centimeters
259,painted surface,width,41.5000000000,centimeters
261,overall,height,106.7000000000,centimeters
261,overall,width,135.9000000000,centimeters
267,overall,height,106.1000000000,centimeters
267,overall,width,82.6000000000,centimeters
270,overall,height,37.5000000000,centimeters
270,overall,width,31.5000000000,centimeters
272,painted surface,height,46.3000000000,centimeters
272,painted surface,width,49.0000000000,centimeters
277,overall,height,44.3000000000,centimeters
277,overall,width,34.1000000000,centimeters
