locationkey,locationtype,description,ispublicvenue,mapimageurl,mapshapetype,mapshapecoords,partof
WSG,room,Sculpture Garden,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wsg.png,"","",8-sg-main
G-044,room,"West Building, Ground Floor - Garden Cafe",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,poly,"256,94,267,94,267,82,293,82,293,94,303,94,304,118,256,118",2-wb-ground
G-034,room,"West Building, Ground Floor - Gallery 34",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"79,110,88,144",2-wb-ground
G-016,room,"West Building, Ground Floor - Gallery 16",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"32,48,57,65",2-wb-ground
G-134,room,"West Building, Ground Floor - Fourth Street Hallway",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"481,97,498,115",2-wb-ground
G-033,room,"West Building, Ground Floor - Gallery 33",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"79,145,96,163",2-wb-ground
G-002,room,"West Building, Ground Floor - Gallery 2",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"214,48,232,75",2-wb-ground
G-022-A,room,"West Building, Ground Floor - Gallery 22A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"79,74,88,89",2-wb-ground
1-wb-main,floor,"West Building, Main Floor",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,,,wb
M-013,room,"West Building, Main Floor - Gallery 13",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"110,25,132,48",1-wb-main
M-063,room,"West Building, Main Floor - Gallery 63",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"426,165,446,187",1-wb-main
M-104,room,"West Building, Main Floor - West Garden Court",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"78,70,131,142",1-wb-main
M-026,room,"West Building, Main Floor - Gallery 26",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"28,87,27,73,41,72,41,86,40,90,38,91,31,90,28,89,28,86",1-wb-main
M-065,room,"West Building, Main Floor - Gallery 65",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"465,165,483,187",1-wb-main
M-011,room,"West Building, Main Floor - Gallery 11",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,circle,"105,59,9",1-wb-main
M-041-A,room,"West Building, Main Floor - Gallery 41A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"134,187,153,210",1-wb-main
M-069-A,room,"West Building, Main Floor - Gallery 69A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"538,121,548,132",1-wb-main
M-024,room,"West Building, Main Floor - Gallery 24",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"11,49,30,72",1-wb-main
M-060-B,room,"West Building, Main Floor - Gallery 60B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"450,207,445,203,444,193,450,188,458,188,464,193,464,202,459,207",1-wb-main
M-105,room,"West Building, Main Floor - Lobby B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"132,97,153,115",1-wb-main
EM-217-C,room,"East Building, Mezzanine - Gallery 217C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png,poly,"305,92,312,91,319,95,319,115,313,120,306,120,299,116,299,95",5-eb-mezzanine
EM-216,room,"East Building, Mezzanine - Vestibule 216",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-mezzanine.png,poly,"288,113,297,109,299,110,300,101,297,102,285,97,273,101,273,108",5-eb-mezzanine
4-eb-ground,floor,"East Building, Ground Level",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,,,eb
EU-404-B,room,"East Building, Upper Level - Gallery 404B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,rect,"128,65,144,106",6-eb-upper
EU-407-X,room,"East Building, Upper Level - Gallery 407X",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"300,85,303,85,303,93,301,95,299,92,294,93,294,87,294,88",6-eb-upper
EU-407-Z,room,"East Building, Upper Level - Gallery 407Z",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"304,85,304,90,327,83,294,71,293,81,295,86",6-eb-upper
EU-415-A,room,"East Building, Upper Level - Gallery 415A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,rect,"340,95,360,116",6-eb-upper
EU-405,room,"East Building, Upper Level - West Terrace",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"165,72,193,83,193,129,181,135,181,141,170,137,165,140",6-eb-upper
EU-407-B,room,"East Building, Upper Level - Gallery 407B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"262,63,262,75,262,82,272,86,272,100,263,103,230,92,230,64,233,52",6-eb-upper
EU-407-C,room,"East Building, Upper Level - Gallery 407C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"226,69,233,52,201,40,195,58",6-eb-upper
EU-403-A,room,"East Building, Upper Level - Gallery 403A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"155,187,159,187,160,164,155,164",6-eb-upper
EU-404-C,room,"East Building, Upper Level - Gallery 404C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,rect,"128,106,162,154",6-eb-upper
EU-404-F,room,"East Building, Upper Level - Gallery 404F",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"191,76,191,86,178,86,178,72",6-eb-upper
EU-401,room,"East Building, Upper Level - Elevator Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"182,141,171,138,170,168,182,172",6-eb-upper
EU-415-B,room,"East Building, Upper Level - Gallery 415B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,rect,"318,88,340,123",6-eb-upper
EU-414,room,"East Building, Upper Level - Vestibule 414",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"273,105,284,99,298,103,298,109,285,113,273,109",6-eb-upper
EU-416,room,"East Building, Upper Level - Bridge",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"273,181,282,185,283,114,274,111",6-eb-upper
EU-417,room,Terrace Caf̩,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"215,217,215,222,296,194,271,183,206,205,226,213",6-eb-upper
