locationkey,locationtype,description,ispublicvenue,mapimageurl,mapshapetype,mapshapecoords,partof
G-042-C,room,"West Building, Ground Floor - Gallery 42C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"193,94,213,119",2-wb-ground
G-019,room,"West Building, Ground Floor - Gallery 19",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"57,54,78,92",2-wb-ground
G-020-A,room,"West Building, Ground Floor - Gallery 20A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"79,48,89,67",2-wb-ground
G-042-D,room,"West Building, Ground Floor - Gallery 42D",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"213,94,233,118",2-wb-ground
G-138-A,room,"West Building, Ground Floor - Fourth Street Elevator Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"504,97,518,115",2-wb-ground
G-006,room,"West Building, Ground Floor - Gallery 6",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"132,74,154,93",2-wb-ground
G-003,room,"West Building, Ground Floor - Gallery 3",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"154,48,214,74",2-wb-ground
G-017,room,"West Building, Ground Floor - Gallery 17",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"32,66,42,74",2-wb-ground
G-020-C,room,"West Building, Ground Floor - Gallery 20C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"119,48,132,67",2-wb-ground
G-018,room,"West Building, Ground Floor - Gallery 18",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"43,66,57,80",2-wb-ground
G-009,room,"West Building, Ground Floor - Gallery 9",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"136,3,154,25",2-wb-ground
G-042-B,room,"West Building, Ground Floor - Gallery 42B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"172,94,193,119",2-wb-ground
EC-029-E,room,"East Building, Concourse - Gallery 29E",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"404,82,424,89,424,96,404,95,400,94",3-eb-concourse
G-041,room,"West Building, Ground Floor - Gallery 41",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"132,93,154,118",2-wb-ground
G-001-A,room,"West Building, Ground Floor - Gallery 1",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"232,48,242,94",2-wb-ground
G-007,room,"West Building, Ground Floor - Gallery 7",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,circle,"143,60,10",2-wb-ground
G-022,room,"West Building, Ground Floor - Gallery 22",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"79,89,88,101",2-wb-ground
WBL,room,West Building Lawn,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"1,47,10,166",2-wb-ground
G-027,room,"West Building, Ground Floor - Gallery 27",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"132,163,153,183",2-wb-ground
G-005,room,"West Building, Ground Floor - Gallery 5",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"154,74,168,94",2-wb-ground
G-010,room,"West Building, Ground Floor - Gallery 10",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"78,3,136,25",2-wb-ground
G-045,room,"West Building, Ground Floor - Gallery 45",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"304,94,325,118",2-wb-ground
G-031,room,"West Building, Ground Floor - Gallery 31",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"114,145,132,163",2-wb-ground
G-025,room,"West Building, Ground Floor - Gallery 25",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"57,164,78,182",2-wb-ground
G-032,room,"West Building, Ground Floor - Gallery 32",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"97,145,114,163",2-wb-ground
G-023,room,"West Building, Ground Floor - Gallery 23",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"57,120,78,144",2-wb-ground
G-028,room,"West Building, Ground Floor - Gallery 28",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"132,139,154,163",2-wb-ground
G-094,room,"West Building, Ground Floor - North Lobby, East Stair",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"293,38,317,59",2-wb-ground
G-030,room,"West Building, Ground Floor - Gallery 30",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"122,110,132,144",2-wb-ground
G-037,room,"West Building, Ground Floor - Gallery 37",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,rect,"57,93,78,119",2-wb-ground
WBPL,room,"West Building, Plaza (4th Street)",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-ground.png,"","",2-wb-ground
EC-029-C,room,"East Building, Concourse - Gallery 29C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"426,80,446,80,446,95,426,103",3-eb-concourse
EC-029-P,room,"East Building, Concourse - Gallery 29P",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-concourse.png,poly,"360,72,391,83,386,90,382,89,381,92,358,83",3-eb-concourse
EG-106-E,room,"East Building, Ground Level - Gallery 106E",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"354,92,361,95,360,116,354,119",4-eb-ground
S-111,room,"East Building, Ground Level - Exhibition Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"216,223,295,195,295,175,227,201,227,215,216,218",4-eb-ground
EBL,room,"East Building, Ground Level - Entrance Terrace",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"126,57,170,74,170,137,125,153",4-eb-ground
S-131,room,East Building Study Center,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"296,176,296,189,318,181,319,168",4-eb-ground
S-159,room,Library Atrium,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"329,221,351,213,375,222,374,171,330,187",4-eb-ground
EG-103-B,room,"East Building, Ground Level - Gallery 103B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"159,30,168,27,177,30,175,44,174,44,169,45,159,43",4-eb-ground
EG-106-A,room,"East Building, Ground Level - Gallery 106A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"339,92,342,90,349,90,353,92,353,118,349,120,343,121,339,118",4-eb-ground
EG-103-C,room,"East Building, Ground Level - Gallery 103C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"159,48,165,45,176,47,176,53,176,61,164,62,159,59",4-eb-ground
EG-106-C,room,"East Building, Ground Level - Gallery 106C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"299,116,305,119,312,119,319,117,319,94,312,92,306,92,299,94",4-eb-ground
EG-103-E,room,"East Building, Ground Level - Gallery 103E",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"136,49,144,45,152,46,158,49,159,58,153,62,144,62,136,59",4-eb-ground
S-109,room,"East Building, Ground Level - Study Center Entrance Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"193,178,227,190,226,215,193,202",4-eb-ground
EG-102,room,"East Building, Ground Level - Ground Floor Gallery 102",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"194,67,194,73,183,77,171,74,169,70,171,67,171,62,182,62",4-eb-ground
S-175,room,East Building Study Center,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"304,165,304,177,324,169,323,158",4-eb-ground
EG-103-D,room,"East Building, Ground Level - Gallery 103D",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"137,32,148,28,159,32,158,41,152,45,145,45,137,42",4-eb-ground
EG-103-Z,room,"East Building, Ground Level - Gallery 103Z",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"126,43,136,43,137,31,126,35",4-eb-ground
M-136,room,"West Building, Main Floor - East Garden Court",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"428,70,481,142",1-wb-main
M-042,room,"West Building, Main Floor - Gallery 42",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"116,165,153,186",1-wb-main
M-040,room,"West Building, Main Floor - Gallery 40",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"100,208,95,202,95,192,100,188,109,188,113,193,114,205,109,207",1-wb-main
M-073,room,"West Building, Main Floor - Gallery 73",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"464,50,502,69",1-wb-main
M-060,room,"West Building, Main Floor - Gallery 60",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"451,163,445,158,446,150,450,145,458,145,463,150,464,157,458,163",1-wb-main
M-053,room,"West Building, Main Floor - Gallery 53",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"327,141,350,164",1-wb-main
M-049,room,"West Building, Main Floor - Gallery 49",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"185,140,209,164",1-wb-main
M-113,room,"West Building, Main Floor - Founder's Room",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"293,144,315,175",1-wb-main
M-010,room,"West Building, Main Floor - Gallery 10",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"114,49,132,70",1-wb-main
M-135,room,"West Building, Main Floor - Lobby C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,98,427,115",1-wb-main
M-084,room,"West Building, Main Floor - Gallery 84",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,70,427,97",1-wb-main
M-086,room,"West Building, Main Floor - Gallery 86",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"382,48,405,72",1-wb-main
WBPR,room,West Building Project Room,1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,"","",1-wb-main
M-109,room,"West Building, Main Floor - Information Room",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"245,144,267,175",1-wb-main
M-079,room,"West Building, Main Floor - Gallery 79",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"444,3,465,24",1-wb-main
M-041,room,"West Building, Main Floor - Gallery 41",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"115,187,133,210",1-wb-main
M-066,room,"West Building, Main Floor - Gallery 66",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"483,165,502,187",1-wb-main
M-012,room,"West Building, Main Floor - Gallery 12",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"99,25,110,48",1-wb-main
M-023,room,"West Building, Main Floor - Gallery 23",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"30,49,56,72",1-wb-main
M-034,room,"West Building, Main Floor - Gallery 34",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"57,164,75,186",1-wb-main
M-051,room,"West Building, Main Floor - Gallery 51",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"209,119,232,140",1-wb-main
M-027,room,"West Building, Main Floor - Gallery 27",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"42,72,56,85",1-wb-main
M-078,room,"West Building, Main Floor - Gallery 78",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,"","",1-wb-main
M-030,room,"West Building, Main Floor - Gallery 30",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"35,140,56,164",1-wb-main
M-004,room,"West Building, Main Floor - Gallery 04",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"177,72,209,93",1-wb-main
M-002,room,"West Building, Main Floor - Gallery 02",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"211,66,211,56,216,52,225,52,229,55,230,66,226,69,216,69",1-wb-main
M-067,room,"West Building, Main Floor - Gallery 67",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"465,144,502,164",1-wb-main
M-052,room,"West Building, Main Floor - Gallery 52",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"327,119,350,140",1-wb-main
M-090,room,"West Building, Main Floor - Gallery 90",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"343,48,365,72",1-wb-main
M-044,room,"West Building, Main Floor - Gallery 44",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"141,143,153,164",1-wb-main
M-080,room,"West Building, Main Floor - Gallery 80",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,3,443,24",1-wb-main
M-022,room,"West Building, Main Floor - Gallery 22",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"57,49,95,70",1-wb-main
M-075,room,"West Building, Main Floor - Gallery 75",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"450,47,444,41,443,32,450,26,458,27,464,33,464,43,458,47",1-wb-main
M-059,room,"West Building, Main Floor - Gallery 59",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,144,444,164",1-wb-main
M-072-B,room,"West Building, Main Floor - Gallery 72-B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,"","",1-wb-main
M-073-B,room,"West Building, Main Floor - Gallery 73B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"479,50,502,69",1-wb-main
M-006,room,"West Building, Main Floor - Gallery 06",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,poly,"157,66,156,56,160,52,170,52,174,55,174,67,171,69,161,70,157,66",1-wb-main
M-061,room,"West Building, Main Floor - Gallery 61",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,165,425,187",1-wb-main
M-074,room,"West Building, Main Floor - Gallery 74",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"445,50,464,69",1-wb-main
M-134,room,"West Building, Main Floor - East Sculpture Hall",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"327,94,405,118",1-wb-main
EG-106-B,room,"East Building, Ground Level - Gallery 106B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,rect,"319,87,339,124",4-eb-ground
EG-105,room,"East Building, Ground Level - Gallery 105",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"272,92,294,100,299,101,299,109,294,109,284,113,271,109",4-eb-ground
ENT,room,"East Building, Ground Level - North Terrace",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"193,34,299,70,329,60,329,81,285,97,194,65",4-eb-ground
EM-201,room,"East Building, Mezzanine - Landing",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"192,177,227,165,227,197,203,205,192,202",4-eb-ground
EG-103-A,room,"East Bldg, Ground Gal 103A (Pod 2)",1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,"","",4-eb-ground
