1969.14.1,"Faille 1970, no. 442 (rejected work)",NULL,NULL,NULL,1969,Daniel L. Wildenstein,http://vocab.getty.edu/ulan/500348192,NULL
1969.14.1,"Faille 1970, no. 442 (rejected work)",NULL,NULL,1912,1912,Galerie E. Blot,http://vocab.getty.edu/ulan/500310301,NULL
1969.14.1,"Faille 1970, no. 442 (rejected work)",NULL,NULL,1925,1925,Mrs. Julius Schmits,NULL,NULL
1969.14.1,"Faille 1970, no. 442 (rejected work)",NULL,NULL,1969,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1890,1890,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1890,1890,Julien Tanguy Gallery,http://vocab.getty.edu/ulan/500326764,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1890,1891,Willy Gretor,NULL,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1891,1919,Otto Ackermann,NULL,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1919,1934,Gaston Bernheim de Villers,http://vocab.getty.edu/ulan/500337059,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1934,1955,Captain Edward H. Molyneux,http://vocab.getty.edu/ulan/500059936,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1955,1970,Mrs. Ailsa Mellon Bruce,http://vocab.getty.edu/ulan/500356370,NULL
1970.17.34,"Faille 1970, no. 565",NULL,NULL,1970,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,NULL,NULL,Anna Cornelia van Gogh-Carbentus,http://vocab.getty.edu/ulan/500089487,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1886,1886,Adrianus Schrauwen,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,NULL,NULL,J.M. Couvreur,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,NULL,NULL,J.C. Couvreur,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1902,1902,Willem  van Bakel,http://vocab.getty.edu/ulan/500728227,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1902,1902,Kees Mouwen,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1904,1905,Kunsthandel Oldenzeel,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1905,1919,Jan Smit,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1919,1919,A. Mak,http://vocab.getty.edu/ulan/500452041,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1919,1954,John Enthoven,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1954,1954,Perls Galleries,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1954,1954,Willem Brinkman,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1954,1955,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1955,1983,Paul Mellon,NULL,NULL
1983.1.21,"Faille 1970, no. 186",NULL,NULL,1983,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1890,1891,Theo van Gogh,NULL,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1891,1891,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1891,1917,Paul Gallimard,NULL,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1917,1926,Bernheim-Jeune,http://vocab.getty.edu/ulan/500434185,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1926,1930,"Alex Reid & Lefèvre, Ltd",http://vocab.getty.edu/ulan/500434176,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1930,1930,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1930,1972,The Honorable W. Averell Harriman,http://vocab.getty.edu/ulan/500444099,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1972,1991,Mrs. W. Averell Harriman,NULL,NULL
1991.67.1,"Faille 1970, no. 681",NULL,NULL,1991,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,NULL,NULL,Joseph Jacob Isaacson,http://vocab.getty.edu/ulan/500100188,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,NULL,NULL,H.P. Bremmer,http://vocab.getty.edu/ulan/500032043,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,1904,1944,Hugo Tutein Nolthenius,NULL,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,NULL,NULL,Firma D. Katz,http://vocab.getty.edu/ulan/500439912,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,1947,1947,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,1947,1982,John Hay Whitney,http://vocab.getty.edu/ulan/500117452,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,1947,1998,Mrs. John Hay Whitney,NULL,NULL
1998.74.5,"Faille 1970, no. 626",NULL,NULL,1998,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,1889,1891,Theo van Gogh,NULL,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,1891,1906,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,NULL
