1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,2002,2002,The account book of Theo van Gogh and Jo van Gogh-Bonger,NULL,"Stolwijk, Chris, and Han Veenenbos",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam and Leiden,NULL,NULL,NULL,"52 (17/9), 127 (92/2), 149, 190 no. F788 JH 2055."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1993,1993,"Primitivism, Cubism, Abstraction: The Early Twentieth Century",NULL,"Harrison, Charles, Francis Frascina and Gill Perry",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New Haven,NULL,NULL,NULL,"201, repro."
1963.10.30,"Faille 1970, no. 788",Periodical,http://vocab.getty.edu/aat/300026657,1963,1963,Chester Dale: Collector,NULL,"MacNeil, Neil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"124, repro."
1963.10.30,"Faille 1970, no. 788",Periodical,http://vocab.getty.edu/aat/300026657,1952,1952,Chesterdale's Way,NULL,"McBride, Henry",NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,"21, repro."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,2008,2008,"Richard Kisling, 1862-1917 : Sammler, Mäzen und Kunstvermittler",NULL,"Volkart, Silvia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bern,NULL,NULL,NULL,"14, 15, 24, 201."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1999,1999,The Bellagio Gallery of Fine Art: European and American Masters,NULL,"Lumpkin, Libby, ed.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Las Vegas,NULL,NULL,NULL,"103, repro."
1963.10.30,"Faille 1970, no. 788",Periodical,http://vocab.getty.edu/aat/300026657,1953,1953,Ladies Home Journal,NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"61+, repro."
1963.10.30,"Faille 1970, no. 788",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1975,1975,"National Gallery of Art, Washington",NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"522, repro. 523."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,1994,1994,Les 70 jours de van Gogh à Auvers,NULL,"Gachet, Paul",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Saint-Ouen-l'Aumône,NULL,NULL,NULL,"159, 318 (where dated around 25 June 1890), color repro XXVII."
1963.10.30,"Faille 1970, no. 788",Monograph,http://vocab.getty.edu/aat/300060417,2009,2009,Vincent van Gogh à Auvers,NULL,"Van der Veen, Wouter, and Peter Knapp",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris,NULL,NULL,NULL,"179, repro."
1963.10.31,"Faille 1970, no. 440",Periodical,http://vocab.getty.edu/aat/300026657,1928,1928,Exhibitions in New York,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16, no. 5",NULL,NULL,NULL,NULL,"268, repro."
1963.10.31,"Faille 1970, no. 440",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1928,1928,"L'Oeuvre de Vincent Van Gogh, catalogue raisonné",NULL,"Faille, J.-B. de la.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris and Brussels,NULL,NULL,NULL,1:no. 440; 2:repro.
1963.10.31,"Faille 1970, no. 440",Periodical,http://vocab.getty.edu/aat/300026657,1929,1929,French Art in the Chester Dale Collection,NULL,"Dale, Maud",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"46, repro."
1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1929,1929,Before Manet to Modigliani from the Chester Dale Collection,NULL,"Dale, Maud",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"no. 65, repro."
1963.10.31,"Faille 1970, no. 440",Monograph,http://vocab.getty.edu/aat/300060417,1937,1937,"Vincent van Gogh's Great Period: Arles, St. Rémy and Auvers sur Oise (Complete Catalogue)",NULL,"Scherjon, W., and Jos. de Gruyter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"154-155, no. 126, repro."
1963.10.31,"Faille 1970, no. 440",Monograph,http://vocab.getty.edu/aat/300060417,1939,1939,Vincent Van Gogh,NULL,"Faille, J.-B. de la.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York and Paris,NULL,NULL,NULL,"340, no. 440, repro."
